Product Name,Product Cost,Product Original Cost,Currency,Product ID,Variation ID,Brand,In Stock,Campaign Label,Top Category,Category,Subcategory,Category Path,Source Category,Source Category URL,Product URL,Image URL
Küçük Bayan Bilge,190.0,190.0,TRY,122520,,Doğan Egmont,True,,Kitap,Çocuk Kitapları,Masallar,Kitap > Çocuk Kitapları > Masallar,Kitap,https://www.nezih.com.tr/kitap,https://www.nezih.com.tr/kucuk-bayan-bilge,https://www.nezih.com.tr/kucuk-bayan-bilge-190984-12-O.jpg
Küçük Bayan Cumbalak,190.0,190.0,TRY,122514,,Doğan Egmont,True,,Kitap,Çocuk Kitapları,Masallar,Kitap > Çocuk Kitapları > Masallar,Kitap,https://www.nezih.com.tr/kitap,https://www.nezih.com.tr/kucuk-bayan-cumbalak,https://www.nezih.com.tr/kucuk-bayan-cumbalak-190978-12-O.jpg
Küçük Bayan Prenses,190.0,190.0,TRY,125801,,Doğan Egmont,True,,Kitap,Çocuk Kitapları,Masallar,Kitap > Çocuk Kitapları > Masallar,Kitap,https://www.nezih.com.tr/kitap,https://www.nezih.com.tr/kucuk-bayan-prenses,https://www.nezih.com.tr/kucuk-bayan-prenses-196690-12-O.jpg
Küçük Bayan Şahane,190.0,190.0,TRY,122498,,Doğan Kitap,True,,Kitap,Çocuk Kitapları,Masallar,Kitap > Çocuk Kitapları > Masallar,Kitap,https://www.nezih.com.tr/kitap,https://www.nezih.com.tr/kucuk-bayan-sahane,https://www.nezih.com.tr/kucuk-bayan-sahane-190960-12-O.jpg
Küçük Baykuş,110.0,110.0,TRY,133386,,İş Bankası Kültür Yayınları,True,,Kitap,Çocuk Kitapları,Masallar,Kitap > Çocuk Kitapları > Masallar,Kitap,https://www.nezih.com.tr/kitap,https://www.nezih.com.tr/kucuk-baykus,https://www.nezih.com.tr/kucuk-baykus-212305-13-O.jpg
Küçük Elma Ağacı,110.0,110.0,TRY,133482,,İş Bankası Kültür Yayınları,True,,Kitap,Çocuk Kitapları,Masallar,Kitap > Çocuk Kitapları > Masallar,Kitap,https://www.nezih.com.tr/kitap,https://www.nezih.com.tr/kucuk-elma-agaci,https://www.nezih.com.tr/kucuk-elma-agaci-212402-13-O.jpg
Küçük Gözlemciler - Plajda,206.0,206.0,TRY,101845,,İş Bankası Kültür Yayınları,True,,Kitap,Çocuk Kitapları,Masallar,Kitap > Çocuk Kitapları > Masallar,Kitap,https://www.nezih.com.tr/kitap,https://www.nezih.com.tr/kucuk-gozlemciler-plajda,https://www.nezih.com.tr/kucuk-gozlemciler-plajda-183711-10-O.jpg
Küçük Kara Balık,115.0,115.0,TRY,43932,,Can Yayınları,True,,Kitap,Çocuk Kitapları,Masallar,Kitap > Çocuk Kitapları > Masallar,Kitap,https://www.nezih.com.tr/kitap,https://www.nezih.com.tr/kucuk-kara-balik,https://www.nezih.com.tr/kucuk-kara-balik-146495-43-O.jpg
Küçük Kuyruklu Yıldız,110.0,110.0,TRY,125871,,İş Bankası Kültür Yayınları,True,,Kitap,Çocuk Kitapları,Masallar,Kitap > Çocuk Kitapları > Masallar,Kitap,https://www.nezih.com.tr/kitap,https://www.nezih.com.tr/kucuk-kuyruklu-yildiz,https://www.nezih.com.tr/kucuk-kuyruklu-yildiz-196782-12-O.jpg
Küçük Kuş,110.0,110.0,TRY,92334,,İş Bankası Kültür Yayınları,True,,Kitap,Çocuk Kitapları,Masallar,Kitap > Çocuk Kitapları > Masallar,Kitap,https://www.nezih.com.tr/kitap,https://www.nezih.com.tr/kucuk-kus,https://www.nezih.com.tr/kucuk-kus-176651-92-O.jpg
Küçük Prenses - Benim Küçük Hikayem-Yumuşak Kapaklı Kitap,295.0,295.0,TRY,121187,,Artemino,True,,Kitap,Çocuk Kitapları,Masallar,Kitap > Çocuk Kitapları > Masallar,Kitap,https://www.nezih.com.tr/kitap,https://www.nezih.com.tr/kucuk-prenses-benim-kucuk-hikayem-yumusak-kapakli-kitap,https://www.nezih.com.tr/kucuk-prenses-benim-kucuk-hikayem-yumusak-kapakli-kitap-189420-12-O.jpg
Küçük Traktör - Benim Küçük Hikayem-Yumuşak Kapaklı Kitap,295.0,295.0,TRY,121185,,Artemino,True,,Kitap,Çocuk Kitapları,Masallar,Kitap > Çocuk Kitapları > Masallar,Kitap,https://www.nezih.com.tr/kitap,https://www.nezih.com.tr/kucuk-traktor-benim-kucuk-hikayem-yumusak-kapakli-kitap,https://www.nezih.com.tr/kucuk-traktor-benim-kucuk-hikayem-yumusak-kapakli-kitap-189418-12-O.jpg
Küçük Yağmur Damlası - Doğanın Eşsiz Hikayeleri 4,98.0,98.0,TRY,133265,,İş Bankası Kültür Yayınları,True,,Kitap,Çocuk Kitapları,Masallar,Kitap > Çocuk Kitapları > Masallar,Kitap,https://www.nezih.com.tr/kitap,https://www.nezih.com.tr/kucuk-yagmur-damlasi-doganin-essiz-hikayeleri-4,https://www.nezih.com.tr/kucuk-yagmur-damlasi-doganin-essiz-hikayeleri-4-212169-13-O.jpg
Kızılgerdan ile Ren Geyiği,170.0,170.0,TRY,133460,,İş Bankası Kültür Yayınları,True,,Kitap,Çocuk Kitapları,Masallar,Kitap > Çocuk Kitapları > Masallar,Kitap,https://www.nezih.com.tr/kitap,https://www.nezih.com.tr/kizilgerdan-ile-ren-geyigi,https://www.nezih.com.tr/kizilgerdan-ile-ren-geyigi-212380-13-O.jpg
Kışın Dönen Yavru Balina,450.0,450.0,TRY,121925,,Redhouse yayınları,True,,Kitap,Çocuk Kitapları,Masallar,Kitap > Çocuk Kitapları > Masallar,Kitap,https://www.nezih.com.tr/kitap,https://www.nezih.com.tr/kisin-donen-yavru-balina,https://www.nezih.com.tr/kisin-donen-yavru-balina-190170-12-O.jpg
La Fontaine Masalları,100.0,100.0,TRY,94391,,Nurdan Yayınları,True,,Kitap,Çocuk Kitapları,Masallar,Kitap > Çocuk Kitapları > Masallar,Kitap,https://www.nezih.com.tr/kitap,https://www.nezih.com.tr/la-fontaine-masallari,https://www.nezih.com.tr/la-fontaine-masallari-175662-94-O.jpg
