Listing_ID,City,District,Rooms,Price
1300047340,Bartin,DemircilerCumhuriyet Mah.,1+1,20000.0
1305928790,Bartin,DemircilerKaraköy Mh.,2+1,18000.0
1284332510,Bartin,DemircilerTuna Mah.,3+1,28500.0
1305729065,Bartin,DemircilerKırtepe Mh.,1+1,15500.0
1300242212,Bartin,DemircilerKemer Köprü Mh.,2+1,25000.0
1294453553,Bartin,DemircilerKöyortası Mh.,3+1,22500.0
1305906040,Bartin,DemircilerCumhuriyet Mah.,2+1,20000.0
1169606685,Bartin,DemircilerKemer Köprü Mh.,2+1,24000.0
1302928463,Bartin,DemircilerKaraköy Mh.,2+1,25000.0
1305706665,Bartin,DemircilerTuna Mah.,2+1,19000.0
1299646340,Bartin,YenisanayiAladağ Mh.,3+1,15000.0
1300549502,Bartin,DemircilerTuna Mah.,3+1,26000.0
846780863,Bartin,Demirciler,1+1,24250.0
1303105780,Bartin,YenisanayiOrduyeri Mah.,3+1,24250.0
1295191101,Bartin,DemircilerKemer Köprü Mh.,2+1,25000.0
1305687268,Bartin,KöylerKarasu Köyü,3+1,485000.0
1297942526,Bartin,DemircilerKemer Köprü Mh.,2+1,25000.0
1294443835,Bartin,KöylerSiremirçavuş Mh.,1+1,25000.0
1300142933,Bartin,KöylerKarasu Köyü,2+1,300000.0
1305667515,Bartin,DemircilerTuna Mah.,3+1,18000.0
1305665622,Bartin,YenisanayiAladağ Mh.,1+1,15000.0
1303659612,Bartin,DemircilerTuna Mah.,2+1,23000.0
1299765246,Bartin,YenisanayiOrduyeri Mah.,2+1,25000.0
1294488320,Bartin,Demirciler,1+1,15000.0
1252661673,Bartin,KöylerSiremirçavuş Mh.,3+1,20500.0
1288911108,Bartin,DemircilerTuna Mah.,2+1,29000.0
1299960219,Bartin,Demirciler,2+1,20000.0
1267911572,Bartin,DemircilerKemer Köprü Mh.,2+1,20000.0
1305598370,Bartin,DemircilerKırtepe Mh.,1+1,15500.0
1265455454,Bartin,YenisanayiAladağ Mh.,2+1,18000.0
1302847529,Bartin,YenisanayiGölbucağı Mh.,1+1,18000.0
1209564627,Bartin,DemircilerKaraköy Mh.,2+1,16000.0
1294150123,Bartin,DemircilerÇaydüzü Mh.,2+1,17000.0
1302829605,Bartin,KöylerKarasu Köyü,2+1,350000.0
1297221641,Bartin,Demirciler,1+1,15000.0
1270070936,Bartin,DemircilerKemer Köprü Mh.,2+1,18000.0
1288409195,Bartin,YenisanayiGölbucağı Mh.,2+1,18000.0
1279932503,Bartin,DemircilerCumhuriyet Mah.,2+1,20000.0
1300063602,Bartin,DemircilerKemer Köprü Mh.,2+1,21000.0
1305713508,Bartin,DemircilerKırtepe Mh.,3+1,25000.0
1294332514,Bartin,DemircilerEsentepe Mah.,1+1,17000.0
1305687969,Bartin,YenisanayiAladağ Mh.,2+1,18500.0
1294034786,Bartin,DemircilerEsentepe Mah.,3+1,30000.0
1300292802,Bartin,Demirciler,1+1,14000.0
1289576780,Bartin,DemircilerKaraköy Mh.,2+1,17500.0
1302900375,Bartin,DemircilerCumhuriyet Mah.,2+1,22000.0
1305633874,Bartin,DemircilerCumhuriyet Mah.,1+1,15000.0
1294346437,Bartin,DemircilerCumhuriyet Mah.,1+1,15000.0
1302691253,Bartin,DemircilerOkulak Mah.,2+1,21000.0
1286659085,Bartin,DemircilerCumhuriyet Mah.,2+1,22000.0
1295505082,Bartin,DemircilerKaraköy Mh.,3+1,27000.0
1294127781,Bartin,DemircilerCumhuriyet Mah.,2+1,14000.0
1185836166,Bartin,DemircilerKöyortası Mh.,2+1,25000.0
1305395843,Bartin,DemircilerOrta Mah.,1+1,18000.0
1305396034,Bartin,DemircilerOrta Mah.,2+1,19000.0
1294344667,Bartin,DemircilerÇaydüzü Mh.,3+1,25000.0
1300785661,Bartin,DemircilerKemer Köprü Mh.,2+1,30000.0
1305388090,Bartin,DemircilerTuna Mah.,2+1,14000.0
1305386668,Bartin,MerkezŞiremirtabaklar Köyü,2+1,20000.0
1258650950,Bartin,DemircilerKırtepe Mh.,2+1,18000.0
1302786713,Bartin,DemircilerKemer Köprü Mh.,3+1,27000.0
1305380440,Bartin,DemircilerKemer Köprü Mh.,1+1,20000.0
1296798541,Bartin,YenisanayiGölbucağı Mh.,2+1,22000.0
1305378070,Bartin,DemircilerEsentepe Mah.,1+1,16500.0
1299832821,Bartin,DemircilerKaraköy Mh.,3+1,30000.0
1298582870,Bartin,YenisanayiAladağ Mh.,2+1,17500.0
1302597012,Bartin,DemircilerKemer Köprü Mh.,3+1,20000.0
1302590127,Bartin,DemircilerKaraköy Mh.,2+1,23000.0
1305667491,Bartin,DemircilerKemer Köprü Mh.,2+1,18500.0
1299673067,Bartin,DemircilerKöyortası Mh.,2+1,8500.0
1305321250,Bartin,MerkezAğdacı Mh.,2+1,12000.0
1299872709,Bartin,DemircilerTuna Mah.,2+1,22500.0
1305305262,Bartin,KöylerGüzelcehisar Köyü,2+1,230000.0
1299626912,Bartin,KöylerTuzcular Köyü,1+1,15000.0
1305284605,Bartin,DemircilerOkulak Mah.,1+1,13500.0
1288531219,Bartin,YenisanayiOrduyeri Mah.,2+1,18000.0
1302491136,Bartin,DemircilerKemer Köprü Mh.,1+1,17000.0
1285712047,Bartin,YenisanayiAladağ Mh.,1+1,12000.0
1302483670,Bartin,DemircilerKemer Köprü Mh.,2+1,25000.0
1206340084,Bartin,DemircilerEsentepe Mah.,2+1,20000.0
1299651521,Bartin,DemircilerCumhuriyet Mah.,1+1,19000.0
1276152017,Bartin,DemircilerKırtepe Mh.,2+1,20000.0
1286601490,Bartin,DemircilerKaraköy Mh.,2+1,20000.0
1300066936,Bartin,DemircilerTuna Mah.,3+1,19000.0
1305391177,Bartin,DemircilerOrta Mah.,2+1,23000.0
1150696752,Bartin,Demirciler,1+1,17500.0
1123576906,Bartin,DemircilerKırtepe Mh.,2+1,20000.0
