Category,Subcategory,Name,Brand,SKU,Price,RegularPrice,DiscountRate,UnitPrice,Status,Date
Temel Gıda,Özel Turşular,Jungle Ekşi Lahana Kişnişli Sauerkraut Turşu 580 G,Jungle Healthy Food,08110174,365.0,365.0,0,"(629,31 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Sebze,Viru Enginar Kalbi 660 Ml,Viru,09031870,674.95,674.95,0,"(1022,65 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Ton,Dardanel Ayçiçek Yağlı Ton Balığı 2X140 G,Dardanel,09050034,429.95,429.95,0,"(1535,53 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Ton,Pınar Ton Balığı 2x150 G,Pınar,09050026,429.95,429.95,0,"(1433,16 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Ton,Dardanel Füme Ton Balığı 2X140 G,Dardanel,09050031,429.95,429.95,0,"(1535,53 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Sebze,Talia Grill Salamura Enginar Kalbi-Çeyrek 450 G,Talia,09100093,603.9,603.9,0,"(1342,00 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Sebze,De&co Beyaz Kuşkonmaz Konservesi 330G,De&Co,09040002,309.95,309.95,0,"(939,24 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Sebze,De&Co Yeşil Kuşkonmaz Konservesi 330 g,De&Co,09040025,336.0,336.0,0,"(1018,18 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Konserve & Salça & Turşu,Gurvita Organik Alıç Sirkesi 500 Ml,Gurvita,06031161,377.95,377.95,0,"(755,90 TL/Litre)",IN_SALE,2026-04-22
Temel Gıda,Sebze,Sera Deniz Börülcesi 340 G,Sera,09030127,454.95,454.95,0,"(1338,08 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Garnitür,Tukaş Garnitür Konservesi Cam 350 G,Tukaş,09030520,55.95,55.95,0,"(159,85 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Özel Turşular,Jungle Ekşi Lahana Pancar Zencefil Sauerkraut 580G,Jungle Healthy Food,08110173,365.0,365.0,0,"(629,31 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Özel Turşular,Melis Kırmızı Soğan Turşusu 340 G,Melis,09101453,109.95,109.95,0,"(323,38 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Mısır,Superfresh Mısır 200 G,Superfresh,09030033,50.95,50.95,0,"(254,75 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Kullanıma Hazır Domatesler,Burcu İtalyan San Marzano Tipi Rende Domates 685 G,Burcu,09011348,74.95,74.95,0,"(109,41 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Salatalık,Tat Ballı & Hardallı Kornişon Turşusu 350 G,Tat,16200034,149.95,149.95,0,"(428,42 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Sebze,Melis Karamelize Soğan 190 G,Melis,09030135,149.95,149.95,0,"(789,21 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Biber,Sera Acı Frenk Biber Turşusu 640 G,Sera,16200036,219.95,219.95,0,"(343,67 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Konserve & Salça & Turşu,Berva Organik Acılı Domates Sosu 175 G,Berva,05089502,150.0,150.0,0,"(857,14 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Özel Turşular,Jungle Ekşi Lahana Sade Sauerkraut Turşu 580 G,Jungle Healthy Food,08110175,365.0,365.0,0,"(629,31 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Biber,Kühne Tatlı Jalapeno Biber Turşusu 350 G,Kühne,16200789,189.95,189.95,0,"(542,71 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Konserve & Salça & Turşu,Farge Organik Konserve Menemen Sosu 270 G,Farge Organik Çiftliği,09035848,179.9,179.9,0,"(666,29 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Konserve & Salça & Turşu,De Nigris Organik Nar Sirkesi 500 Ml,De Nigris,05045275,249.9,249.9,0,"(499,80 TL/Litre)",IN_SALE,2026-04-22
Temel Gıda,Özel Turşular,Sera Erik Turşusu 700 G,Sera,09102032,264.95,264.95,0,"(378,50 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Domates,Tat Domates Salçası 1500 G,Tat,09035880,199.95,199.95,0,"(133,30 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Sebze,Talia Kurutulmuş Domates 300 G,Talia,09030080,215.0,215.0,0,"(716,66 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Sebze,Talia Kaya Koruğu 660 G,Talia,09030129,719.9,719.9,0,"(1090,75 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Sebze,Talia Şevket-i Bostan 610 G,Talia,09030128,749.9,749.9,0,"(1229,34 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Sebze,Talia Deniz Börülcesi 670 G,Talia,09030142,729.9,729.9,0,"(1089,40 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Meyve,Dole Ananas Dilimleri 567 G,Dole,09040024,249.95,249.95,0,"(440,82 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Ton,Superfresh Kinoalı Ton 150 G,Superfresh,09050253,139.95,139.95,0,"(933,00 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Biber,Öncü Biber Salçası Acı Cam 700 Gr,Öncü,09010048,144.95,144.95,0,"(207,07 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Domates,Tat Domates Salçası 170 G,Tat,09010003,33.95,33.95,0,"(199,70 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Konserve,Ant Bahar Hindi Tandır Konserve 2*120 G,Ant Bahar,09024274,259.95,259.95,0,"(1083,12 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Haşlanmış Sebze,Tukaş Nohut Haşlama 830 G,Tukaş,09032535,87.95,87.95,0,"(109,93 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Salatalık,Tat Salatalık Turşu 350 g,Tat,16200351,129.95,129.95,0,"(371,28 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Mısır,Penguen Süt Mısır 3X150 G,Penguen,09035731,129.95,129.95,0,"(288,77 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Ton,Superfresh Ekonomik Zeytinyağlı Ton Balığı 3 x 75 G,Superfresh,09050256,239.95,239.95,0,"(1066,44 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Makarna,Barilla Fusilli Burgu Makarna 500 G,Barilla,05030340,59.95,59.95,0,"(119,90 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Makarna,Barilla Spaghetti Makarna 500 G,Barilla,05030344,59.95,59.95,0,"(119,90 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Makarna,Barilla Linguine Yassı Spagetti 500 G,Barilla,05030349,59.95,59.95,0,"(119,90 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Makarna,Pastavilla Arpa Şehriye 500 G,Pastavilla,05030707,39.95,39.95,0,"(79,90 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Makarna,Barilla Conchiglie Mini Midye Makarna 500 G,Barilla,05030346,59.95,59.95,0,"(119,90 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Makarna,Barilla Pipette Bukle Makarna 500 G,Barilla,05030345,59.95,59.95,0,"(119,90 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Makarna,Makaroma Tri Color Sebzeli Burgu Rotini Makarna 350 G,Makaroma,05030287,59.9,59.9,0,"(171,14 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Erişte,Sevgisun Erişte 500G,Sungurlu Kadın Kooperatifi,05039745,69.95,69.95,0,"(139,90 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Makarna,Barilla Glutensiz Penne Rigate (Kalem) Makarna 400 G,Barilla,05039587,199.95,199.95,0,"(499,87 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Makarna,Potamya Kırmızı Mercimekli Fusilli 240 G,Potamya,05030599,82.95,82.95,0,"(345,62 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Makarna,La Molisana Orzo N65 Sade Arpa Şehriye 500 g,La Molisana,05030580,150.0,150.0,0,"(300,00 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Makarna,Granoro Dedıcato Fusullı Makarna 500 G,Granoro Dedicato,05030533,180.0,180.0,0,"(360,00 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Makarna,Potamya Kırmızı Mercimekli Penne 240 G,Potamya,05030598,82.95,82.95,0,"(345,62 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Makarna,Barilla Farfalle Kelebek 500 G,Barilla,05030347,59.95,59.95,0,"(119,90 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Makarna,Granoro Dedicato Linguine Makarna 500 G.,Granoro Dedicato,05030535,175.0,175.0,0,"(350,00 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Makarna,De Cecco Patatesli Gnocchi Makarna 500 G,De Cecco,05038623,225.0,225.0,0,"(450,00 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Makarna,Granoro Dedicato Farfalle Makarna 500 G.,Granoro Dedicato,05030532,195.0,195.0,0,"(390,00 TL/Kg)",IN_SALE,2026-04-22
Temel Gıda,Erişte,Tas Pirinç Şehriyesi 400 G,T.a.s,05039140,215.0,215.0,0,"(537,50 TL/Kg)",IN_SALE,2026-04-22
