Product Name,Product Cost,Product Original Cost,Discount Amount,Discount Rate,Currency,Product ID,SKU,Brand,Stock Quantity,In Stock,Top Category,Category Path,Leaf Category,Full Category,Model,Variant 1,Variant 2,Subproduct ID,Subproduct Code,Category ID,Source Category,Source Category URL,Product URL,Image URL,tuik_category,per_item_inflation_1d,per_item_inflation_7d,per_item_inflation_15d,per_item_inflation_30d
Contour Crayon - 22 Deep Brown - Kontür Kalemi,320.0,320.0,0.0,0.0,TL,945,P-GCC-22,Golden Rose,2018,Yes,Yüz,Yüz > Kontür >,Kontür Kalemi,Yüz > Kontür > Kontür Kalemi,Contour Crayon,,,,,301,Yüz,https://shop.goldenrose.com.tr/yuz,https://shop.goldenrose.com.tr/golden-rose-contour-crayon-22-deep-brown-kontur-kalemi,https://shop.goldenrose.com.tr/golden-rose-contour-crayon-22-deep-brown-kontur-kalemi-kontur-kalemi-golden-rose-contour-crayon-25781-94-O.jpg,12,,0.0,0.0,
Contour Crayon - 23 Dark - Kontür Kalemi,320.0,320.0,0.0,0.0,TL,946,P-GCC-23,Golden Rose,1086,Yes,Yüz,Yüz > Kontür >,Kontür Kalemi,Yüz > Kontür > Kontür Kalemi,Contour Crayon,,,,,301,Yüz,https://shop.goldenrose.com.tr/yuz,https://shop.goldenrose.com.tr/golden-rose-contour-crayon-23-dark-kontur-kalemi,https://shop.goldenrose.com.tr/golden-rose-contour-crayon-23-dark-kontur-kalemi-kontur-kalemi-golden-rose-contour-crayon-25783-94-O.jpg,12,,0.0,0.0,
Smart Cheek Liquid Blush 101 - Likit Allık,620.0,620.0,0.0,0.0,TL,3704,P-SLB-101,Golden Rose,1079,Yes,Yüz,Yüz > Allık >,Likit Allık,Yüz > Allık > Likit Allık,Smart Cheek Liquid Blush,,,,,659,Yüz,https://shop.goldenrose.com.tr/yuz,https://shop.goldenrose.com.tr/smart-cheek-liquid-blush-101,https://shop.goldenrose.com.tr/smart-cheek-liquid-blush-101-likit-allik-golden-rose-smart-cheek-liquid-blush-38033-37-O.jpg,12,,0.0,0.0,
Smart Cheek Liquid Blush 102 - Likit Allık,620.0,620.0,0.0,0.0,TL,3705,P-SLB-102,Golden Rose,1096,Yes,Yüz,Yüz > Allık >,Likit Allık,Yüz > Allık > Likit Allık,Smart Cheek Liquid Blush,,,,,659,Yüz,https://shop.goldenrose.com.tr/yuz,https://shop.goldenrose.com.tr/smart-cheek-liquid-blush-102,https://shop.goldenrose.com.tr/smart-cheek-liquid-blush-102-likit-allik-golden-rose-smart-cheek-liquid-blush-38038-37-O.jpg,12,,0.0,0.0,
Smart Cheek Liquid Blush 103 - Likit Allık,620.0,620.0,0.0,0.0,TL,3706,P-SLB-103,Golden Rose,654,Yes,Yüz,Yüz > Allık >,Likit Allık,Yüz > Allık > Likit Allık,Smart Cheek Liquid Blush,,,,,659,Yüz,https://shop.goldenrose.com.tr/yuz,https://shop.goldenrose.com.tr/smart-cheek-liquid-blush-103,https://shop.goldenrose.com.tr/smart-cheek-liquid-blush-103-likit-allik-golden-rose-smart-cheek-liquid-blush-38045-37-O.jpg,12,,0.0,0.0,
Smart Cheek Liquid Blush 104 - Likit Allık,620.0,620.0,0.0,0.0,TL,3707,P-SLB-104,Golden Rose,281,Yes,Yüz,Yüz > Allık >,Likit Allık,Yüz > Allık > Likit Allık,Smart Cheek Liquid Blush,,,,,659,Yüz,https://shop.goldenrose.com.tr/yuz,https://shop.goldenrose.com.tr/smart-cheek-liquid-blush-104,https://shop.goldenrose.com.tr/smart-cheek-liquid-blush-104-likit-allik-golden-rose-smart-cheek-liquid-blush-38051-37-O.jpg,12,,0.0,0.0,
Smart Cheek Liquid Blush 105 - Likit Allık,620.0,620.0,0.0,0.0,TL,3708,P-SLB-105,Golden Rose,781,Yes,Yüz,Yüz > Allık >,Likit Allık,Yüz > Allık > Likit Allık,Smart Cheek Liquid Blush,,,,,659,Yüz,https://shop.goldenrose.com.tr/yuz,https://shop.goldenrose.com.tr/smart-cheek-liquid-blush-105,https://shop.goldenrose.com.tr/smart-cheek-liquid-blush-105-likit-allik-golden-rose-smart-cheek-liquid-blush-38053-37-O.jpg,12,,0.0,0.0,
Smart Cheek Liquid Blush 106 - Likit Allık,620.0,620.0,0.0,0.0,TL,3709,P-SLB-106,Golden Rose,86,Yes,Yüz,Yüz > Allık >,Likit Allık,Yüz > Allık > Likit Allık,Smart Cheek Liquid Blush,,,,,659,Yüz,https://shop.goldenrose.com.tr/yuz,https://shop.goldenrose.com.tr/smart-cheek-liquid-blush-106,https://shop.goldenrose.com.tr/smart-cheek-liquid-blush-106-likit-allik-golden-rose-smart-cheek-liquid-blush-38059-37-O.jpg,12,,0.0,0.0,
Smart Cheek Liquid Blush 107 - Likit Allık,620.0,620.0,0.0,0.0,TL,3710,P-SLB-107,Golden Rose,879,Yes,Yüz,Yüz > Allık >,Likit Allık,Yüz > Allık > Likit Allık,Smart Cheek Liquid Blush,,,,,659,Yüz,https://shop.goldenrose.com.tr/yuz,https://shop.goldenrose.com.tr/smart-cheek-liquid-blush-107,https://shop.goldenrose.com.tr/smart-cheek-liquid-blush-107-likit-allik-golden-rose-smart-cheek-liquid-blush-38064-37-O.jpg,12,,0.0,0.0,
Smart Cheek Liquid Blush 108 - Likit Allık,620.0,620.0,0.0,0.0,TL,3711,P-SLB-108,Golden Rose,473,Yes,Yüz,Yüz > Allık >,Likit Allık,Yüz > Allık > Likit Allık,Smart Cheek Liquid Blush,,,,,659,Yüz,https://shop.goldenrose.com.tr/yuz,https://shop.goldenrose.com.tr/smart-cheek-liquid-blush-108,https://shop.goldenrose.com.tr/smart-cheek-liquid-blush-108-likit-allik-golden-rose-smart-cheek-liquid-blush-38069-37-O.jpg,12,,0.0,0.0,
