Unnamed: 0,District,Rooms,Price,PriceInt
438,Bornova,3+1,10.000 TL,10000
439,Karabağlar,1+1,13.000 TL,13000
440,Kiraz,2.5+1,14.000 TL,14000
441,Menemen,1+1,13.000 TL,13000
442,Karabağlar,2+1,12.000 TL,12000
443,Menemen,1+1,13.500 TL,13500
444,Menemen,1+1,13.500 TL,13500
445,Bornova,1+1,13.000 TL,13000
446,Buca,2+1,13.000 TL,13000
447,Torbalı,1+1,14.500 TL,14500
448,Çeşme,Stüdyo (1+0),12.500 TL,12500
449,Torbalı,1+1,13.000 TL,13000
450,Bornova,2+1,10.000 TL,10000
451,Karabağlar,2+1,14.500 TL,14500
452,Karabağlar,2+1,14.000 TL,14000
453,Ödemiş,3+1,12.750 TL,12750
454,Buca,Stüdyo (1+0),14.000 TL,14000
455,Dikili,5+1,10.000 TL,10000
456,Menemen,1+1,14.000 TL,14000
457,Dikili,5+2,10.000 TL,10000
458,Karabağlar,3+1,12.500 TL,12500
459,Gaziemir,1+1,12.000 TL,12000
460,Bayraklı,2+1,12.500 TL,12500
461,Buca,1+1,13.000 TL,13000
462,Buca,1+1,14.000 TL,14000
463,Buca,1+1,14.500 TL,14500
464,Ödemiş,2+1,14.000 TL,14000
465,Buca,1+1,14.999 TL,14999
466,Buca,1+1,14.000 TL,14000
467,Buca,2+1,14.000 TL,14000
468,Menemen,1+1,14.000 TL,14000
469,Torbalı,4+1,14.000 TL,14000
470,Menemen,1+1,14.500 TL,14500
471,Menemen,1+1,13.500 TL,13500
472,Bergama,1+1,12.000 TL,12000
473,Karabağlar,1+1,10.000 TL,10000
474,Menemen,1+1,13.000 TL,13000
475,Bayraklı,1+1,10.000 TL,10000
476,Karabağlar,1+1,14.000 TL,14000
477,Bornova,2+1,14.000 TL,14000
478,Karabağlar,1+1,11.000 TL,11000
479,Bayraklı,2+1,14.000 TL,14000
480,Karabağlar,2+1,13.000 TL,13000
481,Buca,1+1,14.500 TL,14500
482,Bayraklı,4+1,12.500 TL,12500
483,Bergama,2+1,14.500 TL,14500
484,Torbalı,1+1,14.000 TL,14000
485,Menemen,1+1,13.000 TL,13000
486,Bayraklı,1+1,14.000 TL,14000
487,Bayraklı,2+1,13.000 TL,13000
488,Buca,1+1,14.500 TL,14500
489,Buca,2+1,13.000 TL,13000
490,Buca,Stüdyo (1+0),13.500 TL,13500
491,Buca,1+1,13.000 TL,13000
492,Buca,1+1,14.000 TL,14000
493,Buca,1+1,14.000 TL,14000
494,Buca,1+1,14.000 TL,14000
495,Buca,1+1,13.000 TL,13000
496,Menemen,1+1,14.000 TL,14000
497,Menemen,1+1,14.000 TL,14000
498,Buca,Stüdyo (1+0),13.000 TL,13000
499,Menemen,1+1,13.500 TL,13500
500,Buca,1+1,14.000 TL,14000
501,Buca,1+1,13.500 TL,13500
502,Menemen,1+1,14.000 TL,14000
503,Buca,1+1,13.000 TL,13000
504,Buca,2+1,11.000 TL,11000
505,Konak,2+0,10.000 TL,10000
506,Bornova,4+1,12.000 TL,12000
507,Buca,Stüdyo (1+0),11.000 TL,11000
508,Bayraklı,3+0,14.000 TL,14000
509,Buca,1+1,14.000 TL,14000
510,Menemen,1+1,16.000 TL,16000
511,Buca,1+1,16.000 TL,16000
512,Menemen,1+1,15.000 TL,15000
513,Bergama,3+1,15.000 TL,15000
514,Bayraklı,2+1,15.000 TL,15000
515,Menemen,1+1,15.500 TL,15500
516,Kınık,3+1,16.000 TL,16000
517,Karabağlar,2+1,15.000 TL,15000
518,Ödemiş,2+1,15.000 TL,15000
519,Kiraz,4+1,15.000 TL,15000
