District,Rooms,Price,PriceInt
Buca,2+1,18.000 TL,18000
Menemen,1+1,18.000 TL,18000
Buca,1+1,17.500 TL,17500
Buca,1+1,18.000 TL,18000
Buca,1+1,18.000 TL,18000
Buca,1+1,18.500 TL,18500
Buca,1+1,18.000 TL,18000
Menemen,1+1,17.500 TL,17500
Menemen,1+1,18.000 TL,18000
Buca,1+1,18.000 TL,18000
Bergama,3+1,18.500 TL,18500
Konak,2+1,17.500 TL,17500
Buca,2+1,18.000 TL,18000
Torbalı,2+1,18.000 TL,18000
Menemen,1+1,18.000 TL,18000
Torbalı,1+1,18.000 TL,18000
Buca,1.5+1,18.000 TL,18000
Selçuk,1+1,18.000 TL,18000
Bornova,2+1,18.500 TL,18500
Bornova,2+1,17.500 TL,17500
Bornova,2+1,18.000 TL,18000
Menemen,1+1,18.000 TL,18000
Ödemiş,2+1,18.499 TL,18499
Buca,1+1,18.000 TL,18000
Buca,1+1,17.500 TL,17500
Buca,1+1,18.000 TL,18000
Ödemiş,2+1,18.000 TL,18000
Çiğli,3+1,18.500 TL,18500
Menemen,1+1,18.000 TL,18000
Buca,2+1,18.500 TL,18500
Torbalı,3+1,18.500 TL,18500
Buca,1+1,18.500 TL,18500
Menemen,2+1,18.000 TL,18000
Menemen,1+1,17.500 TL,17500
Buca,1+1,17.500 TL,17500
Menemen,1+1,18.000 TL,18000
Buca,1+1,18.000 TL,18000
Buca,1+1,18.000 TL,18000
Menemen,1+1,18.000 TL,18000
Bergama,3+1,18.500 TL,18500
Çiğli,1+1,18.000 TL,18000
Bergama,2+1,18.000 TL,18000
Torbalı,3+1,18.000 TL,18000
Menemen,2+1,18.000 TL,18000
Çiğli,Stüdyo (1+0),18.000 TL,18000
Karabağlar,3+1,18.000 TL,18000
Buca,1+1,17.500 TL,17500
Buca,2+1,18.000 TL,18000
Karabağlar,2+1,17.500 TL,17500
Kemalpaşa,2+1,18.000 TL,18000
Karabağlar,2+1,18.000 TL,18000
Menemen,2+0,18.000 TL,18000
Menemen,1+1,17.500 TL,17500
Bergama,1+1,18.500 TL,18500
Buca,2+1,18.000 TL,18000
Bayraklı,3+1,18.000 TL,18000
Karabağlar,2+1,18.000 TL,18000
Menemen,1+1,18.000 TL,18000
Buca,1+1,18.000 TL,18000
Karabağlar,2+1,18.000 TL,18000
Buca,1+1,17.500 TL,17500
Buca,1+1,18.000 TL,18000
Bornova,1+1,18.250 TL,18250
Menderes,2+1,18.000 TL,18000
Konak,1+1,18.500 TL,18500
Menemen,3+1,18.000 TL,18000
Buca,Stüdyo (1+0),18.000 TL,18000
Bergama,3+1,18.000 TL,18000
Torbalı,2+1,18.000 TL,18000
Çiğli,1+1,18.000 TL,18000
Çiğli,1+1,18.000 TL,18000
Buca,1+1,18.000 TL,18000
Buca,1+1,18.000 TL,18000
Buca,1+1,18.500 TL,18500
Menemen,1+1,17.500 TL,17500
Bornova,3+1,18.000 TL,18000
Konak,2+1,18.000 TL,18000
Buca,1+1,18.000 TL,18000
Menemen,1+1,18.000 TL,18000
Buca,2+0,18.000 TL,18000
Seferihisar,1+1,18.500 TL,18500
Bornova,2+1,18.000 TL,18000
Buca,1+1,18.500 TL,18500
Tire,3+1,18.000 TL,18000
Çiğli,1+1,17.500 TL,17500
Bergama,3+1,18.000 TL,18000
Torbalı,2+1,18.500 TL,18500
Torbalı,3+1,18.000 TL,18000
Menemen,1+1,18.000 TL,18000
Karabağlar,2+1,18.000 TL,18000
Çiğli,1+1,18.000 TL,18000
Buca,1+1,18.000 TL,18000
Menemen,1+1,18.000 TL,18000
Menemen,1+1,18.500 TL,18500
Bergama,2+1,18.500 TL,18500
Çiğli,1+1,18.500 TL,18500
Buca,1+1,17.500 TL,17500
Konak,3+1,18.000 TL,18000
Buca,1+1,18.000 TL,18000
Karabağlar,2+1,18.000 TL,18000
Menemen,1+1,18.000 TL,18000
Çiğli,1+1,18.000 TL,18000
Buca,1+1,18.000 TL,18000
Seferihisar,1+1,17.999 TL,17999
Çiğli,1+1,17.500 TL,17500
Bergama,2+1,18.500 TL,18500
Buca,1+1,18.000 TL,18000
Ödemiş,3+1,18.000 TL,18000
Menemen,1.5+1,18.500 TL,18500
Buca,1+1,18.500 TL,18500
Çiğli,1+1,18.500 TL,18500
Kemalpaşa,3+1,18.000 TL,18000
Bornova,2+1,18.000 TL,18000
Torbalı,1+1,18.500 TL,18500
Buca,1+1,17.500 TL,17500
Buca,1+1,17.500 TL,17500
Buca,1+1,18.000 TL,18000
Buca,2+1,18.000 TL,18000
Çiğli,Stüdyo (1+0),18.000 TL,18000
Menemen,2+1,17.500 TL,17500
Bergama,2+1,18.250 TL,18250
Karabağlar,1+1,18.000 TL,18000
Menemen,1+1,17.500 TL,17500
Torbalı,3+1,18.000 TL,18000
Buca,1+1,18.000 TL,18000
Torbalı,2+1,18.000 TL,18000
Seferihisar,1+1,18.000 TL,18000
