District,Neighborhood,Rooms,Price,PriceInt
Aliağa,Aliağa / Kurtuluş Mh.,3+1,26.000 TL,26000
Aliağa,Köyler / Samurlu Mh.,3+1,18.000 TL,18000
Aliağa,Aliağa / Yalı Mh.,4+1,45.000 TL,45000
Aliağa,Aliağa / Şakran Hasbi Efendi Mh.,3+1,36.000 TL,36000
Aliağa,Aliağa / Şakran Sayfiye Mh.,3+1,48.000 TL,48000
Aliağa,Aliağa / Siteler Mah.,2+1,38.000 TL,38000
Aliağa,Aliağa / Siteler Mah.,3+1,45.000 TL,45000
Aliağa,Aliağa / Yeni Mah.,3+1,30.000 TL,30000
Aliağa,Aliağa / Şakran Hasbi Efendi Mh.,2+1,23.000 TL,23000
Aliağa,Aliağa / Yeni Mah.,3+1,9.000 TL,9000
Aliağa,Aliağa / Siteler Mah.,1+1,33.000 TL,33000
Aliağa,Aliağa / Yeni Mah.,3+1,35.000 TL,35000
Aliağa,Aliağa / Siteler Mah.,3+1,40.000 TL,40000
Aliağa,Aliağa / Kültür Mh.,3+1,31.000 TL,31000
Aliağa,Aliağa / Siteler Mah.,1+1,40.000 TL,40000
Aliağa,Aliağa / Yalı Mh.,1+1,30.000 TL,30000
Aliağa,Aliağa / Şakran Sayfiye Mh.,4+1,35.000 TL,35000
Aliağa,Aliağa / Örnekkent Mh.,2+1,25.000 TL,25000
Aliağa,Aliağa / Yeni Mah.,4+1,35.000 TL,35000
Aliağa,Aliağa / Yalı Mh.,1+1,32.000 TL,32000
Aliağa,Aliağa / Kurtuluş Mh.,3+1,33.000 TL,33000
Aliağa,Aliağa / Atatürk Mh.,3+1,50.000 TL,50000
Aliağa,Aliağa / Kazım Dirik Mh.,3+1,27.000 TL,27000
Aliağa,Aliağa / Şakran Sayfiye Mh.,2+1,45.000 TL,45000
Aliağa,Aliağa / Şakran Hasbi Efendi Mh.,1+1,21.000 TL,21000
Aliağa,Aliağa / Siteler Mah.,2+1,35.000 TL,35000
Aliağa,Aliağa / Kurtuluş Mh.,3.5+1,48.000 TL,48000
Aliağa,Aliağa / Şakran Sayfiye Mh.,1+1,40.000 TL,40000
Aliağa,Aliağa / Kültür Mh.,3+1,42.800 TL,42800
Aliağa,Aliağa / Şakran Sayfiye Mh.,2+1,28.000 TL,28000
Aliağa,Aliağa / Şakran Sayfiye Mh.,3+1,35.000 TL,35000
Aliağa,Aliağa / Atatürk Mh.,3+1,42.000 TL,42000
Aliağa,Aliağa / Yeni Mah.,3+1,28.000 TL,28000
Aliağa,Aliağa / Şakran Hasbi Efendi Mh.,1+1,20.000 TL,20000
Aliağa,Aliağa / Kültür Mh.,2+1,20.000 TL,20000
