District,Rooms,Price,unit_id,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
AktepeKamil Ocak Mah.,3+1,22650.0,AktepeKamil Ocak Mah._3+1,04,0.0,6.338028169014084,9.66480446927375,12.314049586776852
AktepeKöşk Mh.,2+1,15500.0,AktepeKöşk Mh._2+1,04,0.0,0.0,-7.18562874251497,-8.55457227138643
AktepeKöşk Mh.,3+1,22295.454545454544,AktepeKöşk Mh._3+1,04,-1.1835809619743196,-0.4482029598308674,0.3621631575716594,14.828346643485101
AktepeKöşk Mh.,5.5+1,45000.0,AktepeKöşk Mh._5.5+1,04,0.0,0.0,0.0,
AktepeUyanış Mh.,1+1,15000.0,AktepeUyanış Mh._1+1,04,0.0,0.0,,
AktepeUyanış Mh.,2+1,21400.0,AktepeUyanış Mh._2+1,04,5.679012345679013,2.7787307032590003,5.842349304482226,-2.5056947608200453
AktepeUyanış Mh.,3+1,21866.666666666668,AktepeUyanış Mh._3+1,04,-2.193823216187435,-2.3039859833552354,-7.388235294117636,-2.8148148148148096
AktepeUyanış Mh.,4+1,46250.0,AktepeUyanış Mh._4+1,04,0.0,2.7777777777777777,2.7777777777777777,2.7777777777777777
AktepeYeşiltepe Mh.,3+1,25818.18181818182,AktepeYeşiltepe Mh._3+1,04,1.2477718360071366,2.1058038007190594,3.9658328248932397,25.942350332594245
AktepeYeşiltepe Mh.,4+1,28200.0,AktepeYeşiltepe Mh._4+1,04,0.7142857142857143,-1.0526315789473684,10.805500982318271,21.29032258064516
AktepeÇaldıran Mh.,2+1,16500.0,AktepeÇaldıran Mh._2+1,04,0.0,10.0,10.0,
AktepeÇaldıran Mh.,3+1,22916.666666666668,AktepeÇaldıran Mh._3+1,04,-2.482269503546094,0.5116959064327539,-0.9009009009008957,-2.777777777777777
AktepeÇaldıran Mh.,5+1,29770.0,AktepeÇaldıran Mh._5+1,04,0.0,,-3.9677419354838714,10.25925925925926
AktepeŞefkat Mh.,2+1,19125.0,AktepeŞefkat Mh._2+1,04,1.548672566371688,-22.46621621621622,6.25,-41.15384615384615
AktepeŞefkat Mh.,3+1,25044.117647058825,AktepeŞefkat Mh._3+1,04,2.0473384600019995,0.12640738454302944,6.511076730636296,7.140610254797114
AktepeŞefkat Mh.,5+1,46500.0,AktepeŞefkat Mh._5+1,04,0.0,0.0,18.471337579617835,45.3125
AktepeŞenyuva Mh.,2+1,40600.0,AktepeŞenyuva Mh._2+1,04,0.0,-2.8708133971291865,-1.376518218623476,12.777777777777777
AktepeŞenyuva Mh.,3+1,25220.0,AktepeŞenyuva Mh._3+1,04,-4.324734446130501,-4.5826436509813195,-2.7121661721068206,1.557046979865777
AktepeŞenyuva Mh.,4+1,25166.666666666668,AktepeŞenyuva Mh._4+1,04,-3.205128205128201,-4.126984126984122,-5.254901960784309,4.426002766251734
AktepeŞenyuva Mh.,4.5+1,56000.0,AktepeŞenyuva Mh._4.5+1,04,0.0,0.0,10.891089108910892,21.73913043478261
Akyurt,3+1,10000.0,Akyurt_3+1,04,,,-44.44444444444444,-45.20547945205479
AkyurtAtatürk Mh.,2+1,19666.666666666668,AkyurtAtatürk Mh._2+1,04,31.111111111111118,31.111111111111118,31.111111111111118,31.111111111111118
AkyurtAtatürk Mh.,3+1,14875.0,AkyurtAtatürk Mh._3+1,04,4.385964912280701,-1.7431192660550445,-6.217162872154117,-9.848484848484848
AkyurtBalıkhisar Mh.,1+1,21828.20512820513,AkyurtBalıkhisar Mh._1+1,04,0.6225672113522543,0.8642259253838568,3.7679560522200193,6.373348698048647
AkyurtBalıkhisar Mh.,2+1,35000.0,AkyurtBalıkhisar Mh._2+1,04,7.6923076923076925,7.6923076923076925,16.666666666666664,16.666666666666664
AkyurtBeyazıt Mh.,3+1,21416.666666666668,AkyurtBeyazıt Mh._3+1,04,4.7910295616717695,10.395189003436432,6.418219461697729,31.457800511508964
AkyurtSaracalar Mah.,1+1,15950.0,AkyurtSaracalar Mah._1+1,04,-1.8461538461538463,-0.7555555555555508,0.7368421052631541,-8.857142857142856
AkyurtSaracalar Mah.,2+1,21166.666666666668,AkyurtSaracalar Mah._2+1,04,0.0,0.0,9.956709956709963,20.95238095238096
AkyurtTimurhan Mah.,1+1,16500.0,AkyurtTimurhan Mah._1+1,04,-8.333333333333332,,,
AkyurtYeşiltepe Mh.,2+0,13250.0,AkyurtYeşiltepe Mh._2+0,04,0.0,,15.217391304347828,15.217391304347828
AkyurtYeşiltepe Mh.,2+1,16825.0,AkyurtYeşiltepe Mh._2+1,04,0.9810710987996342,1.4864282636794548,4.853787152444873,4.6030607364897165
AkyurtYeşiltepe Mh.,3+1,17300.0,AkyurtYeşiltepe Mh._3+1,04,-0.4899872177247604,-2.2789248149590957,2.449528936742936,1.51589242053789
AkyurtYeşiltepe Mh.,4+1,19000.0,AkyurtYeşiltepe Mh._4+1,04,0.0,0.0,0.0,0.0
AkyurtYıldırım Mh.,1+1,14000.0,AkyurtYıldırım Mh._1+1,04,0.0,-15.151515151515152,-5.084745762711865,
AkyurtYıldırım Mh.,2+1,16200.0,AkyurtYıldırım Mh._2+1,04,2.1621621621621636,3.4889434889434865,1.726844583987441,1.4939759036144613
AkyurtYıldırım Mh.,3+1,18778.18181818182,AkyurtYıldırım Mh._3+1,04,-0.5178241752361215,-1.1572636260426543,-0.4669748266848588,-4.420766868194188
AkyurtYıldırım Mh.,5+1,27500.0,AkyurtYıldırım Mh._5+1,04,0.0,0.0,,
AltındağAtıfbey Mh.,3+1,30000.0,AltındağAtıfbey Mh._3+1,04,0.0,,,15.384615384615385
AltındağAydınlıkevler,3+1,38000.0,AltındağAydınlıkevler_3+1,04,,,,
AltındağFeridun Çelik Mh.,1+1,25000.0,AltındağFeridun Çelik Mh._1+1,04,0.0,0.0,,
AltındağFeridun Çelik Mh.,2+1,20833.333333333332,AltındağFeridun Çelik Mh._2+1,04,0.0,5.042016806722689,2.8806584362139858,5.932203389830495
AltındağFeridun Çelik Mh.,3+1,24335.416666666668,AltındağFeridun Çelik Mh._3+1,04,-1.0308404880253066,-2.1728206655251983,-5.1250812215724455,-1.1090416525567122
AltındağFeridun Çelik Mh.,3.5+1,23000.0,AltındağFeridun Çelik Mh._3.5+1,04,0.0,0.0,,
AltındağFeridun Çelik Mh.,4+1,30500.0,AltındağFeridun Çelik Mh._4+1,04,0.0,-12.857142857142856,-6.153846153846154,-12.857142857142856
AltındağGültepe Mh.,1+1,25000.0,AltındağGültepe Mh._1+1,04,0.0,0.0,-14.529914529914532,-14.529914529914532
AltındağGültepe Mh.,2+1,22807.69230769231,AltındağGültepe Mh._2+1,04,0.8000543946330612,-6.621525864105185,1.5002013693113148,4.612444411775525
AltındağGültepe Mh.,3+1,24006.410256410258,AltındağGültepe Mh._3+1,04,-0.465777636028991,-0.6929072126913768,-1.2801291661861274,3.443281188945932
AltındağGültepe Mh.,4+1,28333.333333333332,AltındağGültepe Mh._4+1,04,0.0,0.0,13.333333333333327,8.974358974358971
AltındağHacettepe Mah.,1+1,28333.333333333332,AltındağHacettepe Mah._1+1,04,0.0,0.0,-32.53968253968254,0.0
AltındağHacettepe Mah.,2+1,33750.0,AltındağHacettepe Mah._2+1,04,14.96350364963503,3.140916808149404,13.76404494382022,2.857142857142857
AltındağHacettepe Mah.,3+1,30583.333333333332,AltındağHacettepe Mah._3+1,04,-0.2717391304347905,-0.5420054200542045,0.5086071987480433,2.734711455641683
AltındağHacettepe Mah.,3.5+1,26000.0,AltındağHacettepe Mah._3.5+1,04,0.0,,,
AltındağHacettepe Mah.,Stüdyo (1+0),12500.0,AltındağHacettepe Mah._Stüdyo (1+0),04,0.0,0.0,10.619469026548673,8.225108225108226
AltındağKaracaören Mh.,2+1,18304.166666666668,AltındağKaracaören Mh._2+1,04,-1.8872138470128357,-0.6108597285067874,-2.464476021314387,0.0
AltındağKaracaören Mh.,3+1,20000.0,AltındağKaracaören Mh._3+1,04,,,,
AltındağKaracaören Mh.,4+1,40000.0,AltındağKaracaören Mh._4+1,04,0.0,6.666666666666667,11.11111111111111,11.11111111111111
AltındağKaracaören Mh.,4.5+1,32000.0,AltındağKaracaören Mh._4.5+1,04,0.0,0.0,,
AltındağKarapürçek Mh.,2+1,20000.0,AltındağKarapürçek Mh._2+1,04,0.0,-6.6666666666666625,-5.325443786982249,-0.15600624024961
AltındağKarapürçek Mh.,2.5+1,23000.0,AltındağKarapürçek Mh._2.5+1,04,,,,
AltındağKarapürçek Mh.,3+1,20757.93650793651,AltındağKarapürçek Mh._3+1,04,0.7740941172349844,-0.03365706869748872,-1.4459987753756256,-3.799089300497449
AltındağKarapürçek Mh.,4+1,30250.0,AltındağKarapürçek Mh._4+1,04,-10.148514851485142,-3.4574468085106345,-2.7331189710610935,-10.591133004926116
AltındağKarapürçek Mh.,4.5+1,43000.0,AltındağKarapürçek Mh._4.5+1,04,,,,
AltındağKarapürçek Mh.,5+1,26000.0,AltındağKarapürçek Mh._5+1,04,0.0,0.0,1.9607843137254901,0.0
AltındağUlubey,5+1,27000.0,AltındağUlubey_5+1,04,,,,
AltındağUlubey Mah.,3+1,28428.571428571428,AltındağUlubey Mah._3+1,04,6.0273060273060235,2.3136246786632335,-2.307314678448703,9.21464244552988
AltındağYeşilöz,4+1,4900.0,AltındağYeşilöz_4+1,04,0.0,,0.0,
AltındağZübeyde Hanım Mh.,1+1,38071.42857142857,AltındağZübeyde Hanım Mh._1+1,04,-0.7448789571694518,5.2666227781435255,0.31996988518727926,-0.20595394120950858
AltındağZübeyde Hanım Mh.,2+1,36625.0,AltındağZübeyde Hanım Mh._2+1,04,0.0,-2.980132450331126,-2.980132450331126,3.737214791502756
AltındağZübeyde Hanım Mh.,3+1,32423.076923076922,AltındağZübeyde Hanım Mh._3+1,04,-5.896082809011576,0.8717948717948731,-2.4305555555555687,16.554904846084717
AltındağZübeyde Hanım Mh.,4+1,40000.0,AltındağZübeyde Hanım Mh._4+1,04,-13.043478260869565,-1.6393442622950762,-1.6393442622950762,5.263157894736842
AltındağZübeyde Hanım Mh.,Stüdyo (1+0),35083.333333333336,AltındağZübeyde Hanım Mh._Stüdyo (1+0),04,13.538295577130535,9.635416666666675,9.635416666666675,26.807228915662655
AltındağÖnder Mh.,3+1,28999.75,AltındağÖnder Mh._3+1,04,0.0,-6.452419354838709,15.23079470198675,40.09541062801932
AltındağÖrnek Mh.,1+1,20000.0,AltındağÖrnek Mh._1+1,04,0.0,,,
AltındağÖrnek Mh.,2+1,17381.57894736842,AltındağÖrnek Mh._2+1,04,-0.20146058927223717,-4.365452834286548,7.6073675159523875,6.96356275303643
AltındağÖrnek Mh.,3+1,23400.0,AltındağÖrnek Mh._3+1,04,5.829145728643224,11.476829796448673,4.865556978233037,5.6057007125890665
AltınovaAltınova Mh.,2+1,17500.0,AltınovaAltınova Mh._2+1,04,0.0,,,
AltınovaAltınova Mh.,3+1,22142.85714285714,AltınovaAltınova Mh._3+1,04,-2.6687598116169613,-3.0239833159541205,0.3958258366318786,1.6763848396501406
AltınovaAltınova Mh.,4+1,17500.0,AltınovaAltınova Mh._4+1,04,0.0,0.0,-1.4084507042253522,-2.7777777777777777
AltınovaYıldırım Beyazıt Mh.,3+1,17000.0,AltınovaYıldırım Beyazıt Mh._3+1,04,0.0,0.0,0.0,6.25
AnıttepeAnıttepe Mh.,1+1,40978.57142857143,AnıttepeAnıttepe Mh._1+1,04,2.0848779619798963,-5.076276514775475,-4.330183435241809,-6.760929627823828
AnıttepeAnıttepe Mh.,2+1,40735.294117647056,AnıttepeAnıttepe Mh._2+1,04,-0.6456241032998639,-1.9165228168016715,2.802004082390046,4.449472096530912
AnıttepeAnıttepe Mh.,3+1,43421.05263157895,AnıttepeAnıttepe Mh._3+1,04,1.2891344383057046,-3.598033010370511,-1.1626323957851235,-4.917402996542448
AnıttepeAnıttepe Mh.,4+1,80000.0,AnıttepeAnıttepe Mh._4+1,04,0.0,0.0,0.0,
AnıttepeAnıttepe Mh.,Stüdyo (1+0),35000.0,AnıttepeAnıttepe Mh._Stüdyo (1+0),04,0.0,0.0,0.0,
AnıttepeYücetepe Mh.,1+1,42500.0,AnıttepeYücetepe Mh._1+1,04,3.0303030303030303,3.0303030303030303,6.25,
AnıttepeYücetepe Mh.,2+1,32500.0,AnıttepeYücetepe Mh._2+1,04,0.7751937984496124,0.6884681583476776,-2.2556390977443606,30.0
AnıttepeYücetepe Mh.,3+1,37900.0,AnıttepeYücetepe Mh._3+1,04,-2.570694087403599,3.8356164383561646,3.706467661691546,18.4375
AyaşFerahfaki Mah.,2+1,15000.0,AyaşFerahfaki Mah._2+1,04,0.0,0.0,0.0,
AydınlıkevlerAydınlıkevler Mh.,1+1,23500.0,AydınlıkevlerAydınlıkevler Mh._1+1,04,0.0,9.941520467836257,31.775700934579447,38.23529411764706
AydınlıkevlerAydınlıkevler Mh.,2+1,21882.352941176472,AydınlıkevlerAydınlıkevler Mh._2+1,04,2.6206896551724186,3.9404546618753145,4.7149894440534865,-7.347447073474458
AydınlıkevlerAydınlıkevler Mh.,3+1,29378.260869565216,AydınlıkevlerAydınlıkevler Mh._3+1,04,0.9713090257023252,2.0610070160334066,3.038576745030398,5.165389509919701
AydınlıkevlerAydınlıkevler Mh.,4+1,46000.0,AydınlıkevlerAydınlıkevler Mh._4+1,04,21.052631578947366,0.0,,
AyrancıAyrancı Mh.,1+1,39909.09090909091,AyrancıAyrancı Mh._1+1,04,3.9299242424242493,8.966801116971773,15.678524374176556,53.496503496503514
AyrancıAyrancı Mh.,2+1,34727.27272727273,AyrancıAyrancı Mh._2+1,04,0.9024873431653183,6.258692628650911,1.7028121360031008,4.600219058050385
AyrancıAyrancı Mh.,2.5+1,34000.0,AyrancıAyrancı Mh._2.5+1,04,0.0,0.0,0.0,
AyrancıAyrancı Mh.,3+1,41474.46808510638,AyrancıAyrancı Mh._3+1,04,0.28295092087662294,1.5387625983548012,17.012605882745277,10.52489829475385
AyrancıAyrancı Mh.,3.5+1,55000.0,AyrancıAyrancı Mh._3.5+1,04,0.0,6.451612903225811,22.22222222222222,
AyrancıAyrancı Mh.,4+1,49750.0,AyrancıAyrancı Mh._4+1,04,0.0,0.0,-15.677966101694915,
AyrancıAyrancı Mh.,7+1,86500.0,AyrancıAyrancı Mh._7+1,04,0.0,,,
AyrancıAziziye Mah.,1+1,42500.0,AyrancıAziziye Mah._1+1,04,-2.9187817258883317,1.1904761904761905,8.418367346938775,14.864864864864865
AyrancıAziziye Mah.,2+1,41615.38461538462,AyrancıAziziye Mah._2+1,04,-0.9157509157509118,-0.9157509157509118,2.4729032936967354,11.469780219780217
AyrancıAziziye Mah.,2+2,45000.0,AyrancıAziziye Mah._2+2,04,0.0,0.0,,-4.25531914893617
AyrancıAziziye Mah.,3+1,49583.333333333336,AyrancıAziziye Mah._3+1,04,1.1239035087719351,3.730822873082292,-1.9589893811790482,6.630824372759863
AyrancıAziziye Mah.,3.5+1,84000.0,AyrancıAziziye Mah._3.5+1,04,0.0,0.0,0.0,
AyrancıAziziye Mah.,4+1,66250.0,AyrancıAziziye Mah._4+1,04,0.0,-0.37593984962406013,-0.37593984962406013,14.224137931034484
AyrancıGüvenevler Mh.,1+1,39583.333333333336,AyrancıGüvenevler Mh._1+1,04,-1.0416666666666605,-1.5544041450777202,5.088495575221252,-1.0416666666666605
AyrancıGüvenevler Mh.,2+1,39035.71428571428,AyrancıGüvenevler Mh._2+1,04,-0.09140767824498322,1.297497683039852,4.79386385426653,-34.9404761904762
AyrancıGüvenevler Mh.,3+1,42603.275862068964,AyrancıGüvenevler Mh._3+1,04,-1.6465414747983707,-0.4940788688700736,1.135372966335819,-7.785117181668911
AyrancıGüvenevler Mh.,4+1,56666.666666666664,AyrancıGüvenevler Mh._4+1,04,0.0,0.0,-25.683060109289617,
AyrancıGüzeltepe Mh.,1+1,40333.333333333336,AyrancıGüzeltepe Mh._1+1,04,3.418803418803425,3.0883919062832863,7.198228128460693,15.238095238095244
AyrancıGüzeltepe Mh.,2+1,49444.444444444445,AyrancıGüzeltepe Mh._2+1,04,0.0,-5.175038051750383,-3.40523673857007,
AyrancıGüzeltepe Mh.,3+1,40715.0,AyrancıGüzeltepe Mh._3+1,04,0.0,0.7413399314807724,-11.820240204764715,32.40650406504065
