kategori,urun_id,barcode,urun_ismi,fiyat
ust-giyim,ADX-00034707D33,6000002045652,ARABA BASKILI T-SHİRT P1764-W2,"299,50 TL"
ust-giyim,ADX-00034568Z16,6000002037473,BASİC KALIN T-SHİRT P10404,"329,50 TL"
ust-giyim,ADX-0003456828,6000002037398,BASİC KALIN T-SHİRT P10404,"329,50 TL"
ust-giyim,ADX-0003450228,6000002042903,BİSİKLET YAKA MODAL T-SHİRT P4283-İ1,"259,50 TL"
ust-giyim,ADX-0003450202,6000002031983,BİSİKLET YAKA MODAL T-SHİRT P4283-İ1,"259,50 TL"
ust-giyim,ADX-00034401536,6000002034328,V YAKA BASİC ATLET A13882-X2,"279,50 TL"
ust-giyim,ADX-0003445213,6000002048769,ÖNÜ BÜZGÜLÜ DANTEL BLUZ B17002-N4,"419,50 TL"
ust-giyim,ADX-00033759k121,6000001992827,HALTER YAKA ATLET A1669-H2,"219,50 TL"
ust-giyim,ADX-00033759K110,6000001992797,HALTER YAKA ATLET A1669-H2,"219,50 TL"
ust-giyim,ADX-00034463473,6000002029287,STRAPLEZ DESENLİ BLUZ B17126-W4,"349,50 TL"
ust-giyim,ADX-000002173411,6000002053831,İNCE ASKILI CROP BÜSTİYER B11957-R2,"119,50 TL"
ust-giyim,ADX-00034665006,6000002043443,BASKILI CROP T-SHİRT P10420,"329,50 TL"
ust-giyim,ADX-00033448Z52,6000002041326,UZUN KOLLU BASİC BLUZ B1605-S4,"299,50 TL"
ust-giyim,ADX-0003464511,6000002042064,YANLARI BÜZGÜLÜ T-SHİRT P161-X1,"249,50 TL"
ust-giyim,ADX-0003450103,6000002031839,KISA KOLLU MODAL T-SHİRT P4298-S7,"219,50TL"
ust-giyim,ADX-0003277128,6000002019219,KARE YAKA KISA KOLLU BLUZ B1559-İ2,"299,50 TL"
ust-giyim,ADX-0003471228,6000002045966,KALIN ASKILI ATLET A0333-L5,"219,50 TL"
ust-giyim,ADX-0003277228,6000001925337,KARE YAKA ATLET A1560-W13,"279,50 TL"
ust-giyim,ADX-0003426028,6000002018816,KURDELE İŞLEMELİ T-SHİRT P1717-X2,"299,50 TL"
ust-giyim,ADX-00033142K110,6000002033451,BİSİKLET YAKA KISA KOLLU BODYSUİT Z24-0043-H8,"249,50 TL"
ust-giyim,ADX-00031441Z52,6000002054722,KALIN ASKILI BASİC ATLET A13404-J5,"249,50 TL"
ust-giyim,ADX-0003464502,6000002042002,YANLARI BÜZGÜLÜ T-SHİRT P161-X1,"249,50 TL"
ust-giyim,ADX-00031441Z55,6000002034267,KALIN ASKILI BASİC ATLET A13404-J5,"249,50 TL"
ust-giyim,ADX-00032758Z16,6000001924521,DİK YAKA BLUZ B1553-İ11,"299,50 TL"
ust-giyim,ADX-00034452B02,6000002048837,ÖNÜ BÜZGÜLÜ DANTEL BLUZ B17002-N4,"419,50 TL"
ust-giyim,ADX-00032772k121,6000002018557,KARE YAKA ATLET A1560-W13,"279,50 TL"
ust-giyim,ADX-0003464503,6000002042033,YANLARI BÜZGÜLÜ T-SHİRT P161-X1,"249,50 TL"
ust-giyim,ADX-00034670Z51,6000002043658,NYC 1990 YAZILI T-SHİRT P10411-D13,"349,50 TL"
ust-giyim,ADX-00034762536,6000002049278,BİSİKLET YAKA BASKILI T-SHİRT P10431-U5,"329,50 TL"
ust-giyim,ADX-00034568B60,6000002037428,BASİC KALIN T-SHİRT P10404,"329,50 TL"
ust-giyim,ADX-00034762K110,6000002049308,BİSİKLET YAKA BASKILI T-SHİRT P10431-U5,"329,50 TL"
ust-giyim,ADX-00034768K110,6000002049452,KISA KOLLU BASKILI T-SHİRT P10439-P12,"349,50 TL"
ust-giyim,ADX-00034146B60,6000002031051,YANDAN BAĞLAMALI GÖMLEK G16797-Z12,"599,50 TL"
ust-giyim,ADX-00034568Z51,6000002037503,BASİC KALIN T-SHİRT P10404,"329,50 TL"
ust-giyim,ADX-0003275803,6000001924460,DİK YAKA BLUZ B1553-İ11,"299,50 TL"
ust-giyim,ADX-0003450013,6000002031730,KISA KOLLU BASİC T-SHİRT A4003-DK4,"199,50 TL"
ust-giyim,ADX-0003417903,6000002013736,YAKASI ÇITÇITLI MODAL T-SHİRT B13847-J7,"379,50 TL"
ust-giyim,ADX-0003450011,6000002031716,KISA KOLLU BASİC T-SHİRT A4003-DK4,"199,50 TL"
ust-giyim,ADX-0003450113,6000002031921,KISA KOLLU MODAL T-SHİRT P4298-S7,"219,50TL"
ust-giyim,ADX-0003456802,6000002037336,BASİC KALIN T-SHİRT P10404,"329,50 TL"
ust-giyim,ADX-0003450132,6000002031952,KISA KOLLU MODAL T-SHİRT P4298-S7,"219,50TL"
ust-giyim,ADX-00034639B02,6000002041548,AYICIK İŞLEMELİ KALIN T-SHİRT P10405-E11,"399,50 TL"
ust-giyim,ADX-00033448Z55,6000002041357,UZUN KOLLU BASİC BLUZ B1605-S4,"299,50 TL"
ust-giyim,ADX-00034146K78,6000002031082,YANDAN BAĞLAMALI GÖMLEK G16797-Z12,"599,50 TL"
ust-giyim,ADX-00030859Z52,6000002017116,BİSİKLET YAKA BASİC BLUZ B1496-DK2,"329,50 TL"
ust-giyim,ADX-0003450210,6000002032041,BİSİKLET YAKA MODAL T-SHİRT P4283-İ1,"259,50 TL"
ust-giyim,ADX-0003450003,6000002031655,KISA KOLLU BASİC T-SHİRT A4003-DK4,"199,50 TL"
ust-giyim,ADX-0003450503,6000002032256,POLO YAKA MODAL T-SHİRT P4311-H12,"299,50 TL"
ust-giyim,ADX-0003450502,6000002032225,POLO YAKA MODAL T-SHİRT P4311-H12,"299,50 TL"
