Name,Brand,SalePrice,RegularPrice,StockCode,URL,CategoryURL
Çamaşır İpi-Teli Çelik 10mt,N/A,27.6,27.6,"Çİ5033            27,60 TL            21,60 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/ev-ve-yasam-urunleri/camasirlik-cesitleri/prd-camasir-ipi-celik-10-mt,https://nalburtek.com/hirdavat-ve-nalbur
Mapa Kilit-Zincir Kilidi 12 mm,N/A,54.3,54.3,"KZ012            54,30 TL            40,73 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/zincir-kilidi-mapa-kilit/prd-mapa-kilit-zincir-kilidi-12-mm,https://nalburtek.com/hirdavat-ve-nalbur
Beyaz Çelik Civata DIN 933 8.8 - M6x70,N/A,3.82,3.82,"BC0670           3,82 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/civata-cesitleri/beyaz-civatalar/prd-beyaz-celik-civata-8-8-m6-x-70,https://nalburtek.com/hirdavat-ve-nalbur
Mapa Kilit-Zincir Kilidi 16 mm,N/A,108.6,108.6,"KZ016            108,60 TL            89,60 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/zincir-kilidi-mapa-kilit/prd-mapa-kilit-zincir-kilidi-16-mm,https://nalburtek.com/hirdavat-ve-nalbur
Mapa Kilit-Zincir Kilidi 20 mm,N/A,162.9,162.9,"KZ020            162,90 TL            124,89 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/zincir-kilidi-mapa-kilit/prd-mapa-kilit-zincir-kilidi-20-mm,https://nalburtek.com/hirdavat-ve-nalbur
Beyaz Çelik Civata DIN 933 8.8 - M6x80,N/A,4.83,4.83,"BC0680           4,83 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/civata-cesitleri/beyaz-civatalar/prd-beyaz-celik-civata-8-8-m6-x-80,https://nalburtek.com/hirdavat-ve-nalbur
Beyaz Çelik Civata DIN 933 8.8 - M6x90,N/A,5.69,5.69,"BC0690           5,69 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/civata-cesitleri/beyaz-civatalar/prd-beyaz-celik-civata-8-8-m6-x-90,https://nalburtek.com/hirdavat-ve-nalbur
Sineklik Teli Fiber 80cm 30mt - 24m2,N/A,1036.8,1036.8,"FS0080            1.036,80 TL            864,00 TL           -  +   TOP        Sepete Ekle",/hirdavat-ve-nalbur/tel-ve-file-cesitleri/sineklik-telleri/prd-sinek-teli-fiber-80-cm-24m2,https://nalburtek.com/hirdavat-ve-nalbur
Sineklik Teli Fiber 120cm 30mt - 36m2,N/A,1555.2,1555.2,"FS0120            1.555,20 TL            1.296,00 TL           -  +   TOP        Sepete Ekle",/hirdavat-ve-nalbur/tel-ve-file-cesitleri/sineklik-telleri/prd-sinek-teli-fiber-120-cm-36-m2,https://nalburtek.com/hirdavat-ve-nalbur
Sineklik Teli Fiber 140cm 30mt - 42m2,N/A,1814.4,1814.4,"FS0140            1.814,40 TL            1.512,00 TL           -  +   TOP        Sepete Ekle",/hirdavat-ve-nalbur/tel-ve-file-cesitleri/sineklik-telleri/prd-sinek-teli-fiber-140-cm-42-m2,https://nalburtek.com/hirdavat-ve-nalbur
Koli Bandı Holtmelt Şeffaf 45x100mt,N/A,120.0,120.0,"KB1100            120,00 TL            90,00 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/bant-cesitleri-ve-aksesuarlar/koli-bantlari/prd-holtmelt-koli-bandi-45x100mt-seffaf,https://nalburtek.com/hirdavat-ve-nalbur
Düz Lama Bağlantı Sac Gönye 20x50mm,N/A,4.28,4.28,"DG2040           4,28 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/gonye-ve-kosebentler/prd-duz-gonye-20mm-x-40mm,https://nalburtek.com/hirdavat-ve-nalbur
Beyaz Çelik Civata DIN 933 8.8 - M8x10,N/A,2.21,2.21,"BC0810           2,21 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/civata-cesitleri/beyaz-civatalar/prd-beyaz-celik-civata-8-8-m8-x-10,https://nalburtek.com/hirdavat-ve-nalbur
Düz Lama Bağlantı Sac Gönye 20x90mm,N/A,6.64,6.64,"DG2080           6,64 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/gonye-ve-kosebentler/prd-duz-gonye-20mm-x-80mm,https://nalburtek.com/hirdavat-ve-nalbur
Beyaz Çelik Civata DIN 933 8.8 - M8x12,N/A,2.23,2.23,"BC0812           2,23 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/civata-cesitleri/beyaz-civatalar/prd-beyaz-celik-civata-8-8-m8-x-12,https://nalburtek.com/hirdavat-ve-nalbur
Beyaz Çelik Civata DIN 933 8.8 - M8x15,N/A,2.86,2.86,"BC0815           2,86 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/civata-cesitleri/beyaz-civatalar/prd-beyaz-celik-civata-8-8-m8-x-15,https://nalburtek.com/hirdavat-ve-nalbur
Sunta Vidası 3.5x16 (1000 Adet),N/A,360.27,360.27,"SV3516            360,27 TL            300,22 TL           -  +   PAKET        Sepete Ekle",/hirdavat-ve-nalbur/baglanti-elemanlari/vida-cesitleri/sunta-vidalari/prd-sunta-vidasi-pz2-3-5-x-16-1000-adet,https://nalburtek.com/hirdavat-ve-nalbur
Servis Tekeri Döner 80 mm,N/A,257.93,257.93,"STD080            257,93 TL            199,82 TL           -  +   ADET        Sepete Ekle",/hirdavat-ve-nalbur/teker-cesitleri/hafif-sanayi-teker/prd-servis-tekeri-doner-80x30-mm,https://nalburtek.com/hirdavat-ve-nalbur
