kategori,title,price,cart_discount_text,image_urls,product_url,product_id
erkek,Pitaya Erkek Keten Gömlek Comfort Fit Saks,"2.499,99",,https://witcdn.lufian.com/pitaya-erkek-keten-gomlek-comfort-fit-saks-10567-erkek-keten-gomlek-lufian-468754-10-B.jpg | https://witcdn.lufian.com/pitaya-erkek-keten-gomlek-comfort-fit-saks-10567-erkek-keten-gomlek-lufian-468755-10-B.jpg,https://www.lufian.com/pitaya-erkek-keten-gomlek-comfort-fit-saks-10567,10567
erkek,Pitaya Erkek Keten Gömlek Comfort Fit Koyu Yeşil,"2.499,99",,https://witcdn.lufian.com/pitaya-erkek-keten-gomlek-comfort-fit-koyu-yesil-erkek-keten-gomlek-lufian-468766-10-B.jpg | https://witcdn.lufian.com/pitaya-erkek-keten-gomlek-comfort-fit-koyu-yesil-erkek-keten-gomlek-lufian-468767-10-B.jpg,https://www.lufian.com/pitaya-erkek-keten-gomlek-comfort-fit-koyu-yesil,10569
erkek,Cole Erkek Gömlek Ceket Lacivert,"4.999,99",,https://witcdn.lufian.com/cole-erkek-gomlek-ceket-lacivert-erkek-spor-gomlek-lufian-468898-10-B.jpg | https://witcdn.lufian.com/cole-erkek-gomlek-ceket-lacivert-erkek-spor-gomlek-lufian-468899-10-B.jpg,https://www.lufian.com/cole-erkek-gomlek-ceket-lacivert,10591
erkek,Gary Erkek Gömlek Ceket Toprak,"3.999,99",,https://witcdn.lufian.com/gary-erkek-gomlek-ceket-toprak-erkek-spor-gomlek-lufian-468923-10-B.jpg | https://witcdn.lufian.com/gary-erkek-gomlek-ceket-toprak-erkek-spor-gomlek-lufian-468924-10-B.jpg,https://www.lufian.com/gary-erkek-gomlek-ceket-toprak,10595
erkek,Pitaya Erkek Keten Gömlek Comfort Fit Siyah,"2.499,99",,https://witcdn.lufian.com/pitaya-erkek-keten-gomlek-comfort-fit-siyah-10566-erkek-keten-gomlek-lufian-468748-10-B.jpg | https://witcdn.lufian.com/pitaya-erkek-keten-gomlek-comfort-fit-siyah-10566-erkek-keten-gomlek-lufian-468749-10-B.jpg,https://www.lufian.com/pitaya-erkek-keten-gomlek-comfort-fit-siyah-10566,10566
erkek,Pitaya Erkek Keten Gömlek Comfort Fit İndigo,"2.499,99",,https://witcdn.lufian.com/pitaya-erkek-keten-gomlek-comfort-fit-indigo-erkek-keten-gomlek-lufian-468760-10-B.jpg | https://witcdn.lufian.com/pitaya-erkek-keten-gomlek-comfort-fit-indigo-erkek-keten-gomlek-lufian-468761-10-B.jpg,https://www.lufian.com/pitaya-erkek-keten-gomlek-comfort-fit-indigo,10568
erkek,Marco Erkek Basic Gömlek Regular Fit Mavi,"1.799,99",,https://witcdn.lufian.com/marco-erkek-basic-gomlek-regular-fit-mavi-erkek-klasik-gomlek-lufian-468968-10-B.jpg | https://witcdn.lufian.com/marco-erkek-basic-gomlek-regular-fit-mavi-erkek-klasik-gomlek-lufian-468969-10-B.jpg,https://www.lufian.com/marco-erkek-basic-gomlek-regular-fit-mavi,10602
erkek,Pitaya Erkek Keten Gömlek Comfort Fit Mavi,"2.499,99",,https://witcdn.lufian.com/pitaya-erkek-keten-gomlek-comfort-fit-mavi-10603-erkek-keten-gomlek-lufian-468974-10-B.jpg | https://witcdn.lufian.com/pitaya-erkek-keten-gomlek-comfort-fit-mavi-10603-erkek-keten-gomlek-lufian-468975-10-B.jpg,https://www.lufian.com/pitaya-erkek-keten-gomlek-comfort-fit-mavi-10603,10603
erkek,Pitaya Erkek Keten Gömlek Comfort Fit Beyaz,"2.499,99",,https://witcdn.lufian.com/pitaya-erkek-keten-gomlek-comfort-fit-beyaz-10604-erkek-keten-gomlek-lufian-468980-10-B.jpg | https://witcdn.lufian.com/pitaya-erkek-keten-gomlek-comfort-fit-beyaz-10604-erkek-keten-gomlek-lufian-468981-10-B.jpg,https://www.lufian.com/pitaya-erkek-keten-gomlek-comfort-fit-beyaz-10604,10604
erkek,Pitaya Erkek Keten Gömlek Comfort Fit Haki,"2.499,99",,https://witcdn.lufian.com/pitaya-erkek-keten-gomlek-comfort-fit-haki-10605-erkek-keten-gomlek-lufian-468986-10-B.jpg | https://witcdn.lufian.com/pitaya-erkek-keten-gomlek-comfort-fit-haki-10605-erkek-keten-gomlek-lufian-468987-10-B.jpg,https://www.lufian.com/pitaya-erkek-keten-gomlek-comfort-fit-haki-10605,10605
erkek,Verder Erkek Basic Gömlek Regular Fit Mavi,"1.799,99",,https://witcdn.lufian.com/verder-erkek-basic-gomlek-regular-fit-mavi-erkek-klasik-gomlek-lufian-468992-10-B.jpg | https://witcdn.lufian.com/verder-erkek-basic-gomlek-regular-fit-mavi-erkek-klasik-gomlek-lufian-468993-10-B.jpg,https://www.lufian.com/verder-erkek-basic-gomlek-regular-fit-mavi,10606
erkek,Cole Erkek Gömlek Ceket Kahverengi,"4.999,99",,https://witcdn.lufian.com/cole-erkek-gomlek-ceket-kahverengi-erkek-spor-gomlek-lufian-469112-10-B.jpg | https://witcdn.lufian.com/cole-erkek-gomlek-ceket-kahverengi-erkek-spor-gomlek-lufian-469113-10-B.jpg,https://www.lufian.com/cole-erkek-gomlek-ceket-kahverengi,10626
erkek,Gary Erkek Gömlek Ceket Taş,"3.999,99",,https://witcdn.lufian.com/gary-erkek-gomlek-ceket-tas-erkek-spor-gomlek-lufian-469154-10-B.jpg | https://witcdn.lufian.com/gary-erkek-gomlek-ceket-tas-erkek-spor-gomlek-lufian-469155-10-B.jpg,https://www.lufian.com/gary-erkek-gomlek-ceket-tas,10633
erkek,Gary Erkek Gömlek Ceket Lacivert,"3.999,99",,https://witcdn.lufian.com/gary-erkek-gomlek-ceket-lacivert-erkek-spor-gomlek-lufian-469160-10-B.jpg | https://witcdn.lufian.com/gary-erkek-gomlek-ceket-lacivert-erkek-spor-gomlek-lufian-469161-10-B.jpg,https://www.lufian.com/gary-erkek-gomlek-ceket-lacivert,10634
erkek,Peter Erkek Basic Gömlek Regular Fit Mavi,"1.999,99",,https://witcdn.lufian.com/peter-erkek-basic-gomlek-regular-fit-mavi-yeni-sezon-lufian-469202-10-B.jpg | https://witcdn.lufian.com/peter-erkek-basic-gomlek-regular-fit-mavi-yeni-sezon-lufian-469203-10-B.jpg,https://www.lufian.com/peter-erkek-basic-gomlek-regular-fit-mavi,10639
erkek,Marco Erkek Basic Gömlek Regular Fit Yeşil,"1.799,99",,https://witcdn.lufian.com/marco-erkek-basic-gomlek-regular-fit-yesil-erkek-desenli-gomlek-lufian-469208-10-B.jpg | https://witcdn.lufian.com/marco-erkek-basic-gomlek-regular-fit-yesil-erkek-desenli-gomlek-lufian-469209-10-B.jpg,https://www.lufian.com/marco-erkek-basic-gomlek-regular-fit-yesil,10640
erkek,Marco Erkek Basic Gömlek Regular Fit Pembe,"1.799,99",,https://witcdn.lufian.com/marco-erkek-basic-gomlek-regular-fit-pembe-erkek-desenli-gomlek-lufian-469214-10-B.jpg | https://witcdn.lufian.com/marco-erkek-basic-gomlek-regular-fit-pembe-erkek-desenli-gomlek-lufian-469215-10-B.jpg,https://www.lufian.com/marco-erkek-basic-gomlek-regular-fit-pembe,10641
erkek,Marco Erkek Basic Gömlek Regular Fit Mor,"1.799,99",,https://witcdn.lufian.com/marco-erkek-basic-gomlek-regular-fit-mor-erkek-desenli-gomlek-lufian-469220-10-B.jpg | https://witcdn.lufian.com/marco-erkek-basic-gomlek-regular-fit-mor-erkek-desenli-gomlek-lufian-469221-10-B.jpg,https://www.lufian.com/marco-erkek-basic-gomlek-regular-fit-mor,10642
erkek,Pitaya Erkek Keten Gömlek Comfort Fit Lacivert,"2.499,99",,https://witcdn.lufian.com/pitaya-erkek-keten-gomlek-comfort-fit-lacivert-10643-erkek-keten-gomlek-lufian-469226-10-B.jpg | https://witcdn.lufian.com/pitaya-erkek-keten-gomlek-comfort-fit-lacivert-10643-erkek-keten-gomlek-lufian-469227-10-B.jpg,https://www.lufian.com/pitaya-erkek-keten-gomlek-comfort-fit-lacivert-10643,10643
erkek,Pitaya Erkek Keten Gömlek Comfort Fit Bej,"2.499,99",,https://witcdn.lufian.com/pitaya-erkek-keten-gomlek-comfort-fit-bej-10644-erkek-keten-gomlek-lufian-469232-10-B.jpg | https://witcdn.lufian.com/pitaya-erkek-keten-gomlek-comfort-fit-bej-10644-erkek-keten-gomlek-lufian-469233-10-B.jpg,https://www.lufian.com/pitaya-erkek-keten-gomlek-comfort-fit-bej-10644,10644
erkek,Verder Erkek Basic Gömlek Regular Fit Beyaz,"1.799,99",,https://witcdn.lufian.com/verder-erkek-basic-gomlek-regular-fit-beyaz-erkek-klasik-gomlek-lufian-469238-10-B.jpg | https://witcdn.lufian.com/verder-erkek-basic-gomlek-regular-fit-beyaz-erkek-klasik-gomlek-lufian-469239-10-B.jpg,https://www.lufian.com/verder-erkek-basic-gomlek-regular-fit-beyaz,10645
erkek,Chrıs Erkek Basic Gömlek Regular Fit Mavi,"1.799,99",,https://witcdn.lufian.com/chris-erkek-basic-gomlek-regular-fit-mavi-erkek-klasik-gomlek-lufian-469244-10-B.jpg | https://witcdn.lufian.com/chris-erkek-basic-gomlek-regular-fit-mavi-erkek-klasik-gomlek-lufian-469245-10-B.jpg,https://www.lufian.com/chris-erkek-basic-gomlek-regular-fit-mavi,10646
erkek,Flex Erkek Gömlek Ceket Siyah,"3.999,99",,https://witcdn.lufian.com/flex-erkek-gomlek-ceket-siyah-erkek-spor-gomlek-lufian-469382-10-B.jpg | https://witcdn.lufian.com/flex-erkek-gomlek-ceket-siyah-erkek-spor-gomlek-lufian-469383-10-B.jpg,https://www.lufian.com/flex-erkek-gomlek-ceket-siyah,10669
erkek,Flex Erkek Gömlek Ceket Taş,"3.999,99",,https://witcdn.lufian.com/flex-erkek-gomlek-ceket-tas-erkek-spor-gomlek-lufian-469388-10-B.jpg | https://witcdn.lufian.com/flex-erkek-gomlek-ceket-tas-erkek-spor-gomlek-lufian-469389-10-B.jpg,https://www.lufian.com/flex-erkek-gomlek-ceket-tas,10670
erkek,Flex Erkek Gömlek Ceket Toprak,"3.999,99",,https://witcdn.lufian.com/flex-erkek-gomlek-ceket-toprak-erkek-spor-gomlek-lufian-469394-10-B.jpg | https://witcdn.lufian.com/flex-erkek-gomlek-ceket-toprak-erkek-spor-gomlek-lufian-469395-10-B.jpg,https://www.lufian.com/flex-erkek-gomlek-ceket-toprak,10671
erkek,Gary Erkek Gömlek Ceket Siyah,"3.999,99",,https://witcdn.lufian.com/gary-erkek-gomlek-ceket-siyah-erkek-spor-gomlek-lufian-469430-10-B.jpg | https://witcdn.lufian.com/gary-erkek-gomlek-ceket-siyah-erkek-spor-gomlek-lufian-469431-10-B.jpg,https://www.lufian.com/gary-erkek-gomlek-ceket-siyah,10677
erkek,Derek Erkek Modal Karışımlı Kazak Açık Gri,"2.399,99",,https://witcdn.lufian.com/derek-erkek-modal-karisimli-kazak-acik-gri-erkek-triko-kazak-lufian-468701-10-B.jpg | https://witcdn.lufian.com/derek-erkek-modal-karisimli-kazak-acik-gri-erkek-triko-kazak-lufian-468702-10-B.jpg,https://www.lufian.com/derek-erkek-modal-karisimli-kazak-acik-gri,10545
erkek,Derek Erkek Modal Karışımlı Kazak Duman Yeşili,"2.399,99",,https://witcdn.lufian.com/derek-erkek-modal-karisimli-kazak-duman-yesili-erkek-triko-kazak-lufian-468514-10-B.jpg | https://witcdn.lufian.com/derek-erkek-modal-karisimli-kazak-duman-yesili-erkek-triko-kazak-lufian-468515-10-B.jpg,https://www.lufian.com/derek-erkek-modal-karisimli-kazak-duman-yesili,10546
