ProductName,Total_Period_Change_%,2026-04_Change_%
%100 101 7S6 BASIC BEYAZ DENIM FIT HERA IT'S JEAN KADIN KIRIK PALAZZO PAMUK,0.0,0.0
%100 120X200 ANTRASIT KIŞILIK LASTIKLI NORDQUEEN PAMUK RANFORCE TEK ÇARŞAF,0.0,0.0
%100 120X200 BEJ KIŞILIK LASTIKLI NORDQUEEN PAMUK RANFORCE TEK ÇARŞAF,0.0,0.0
%100 120X200 GRI KIŞILIK LASTIKLI NORDQUEEN PAMUK RANFORCE TEK ÇARŞAF,0.0,0.0
%100 150 AVOKADO BRONZLAŞTIRICI BRONZLAŞTIRICI DOĞAL HAVUÇ INCIA KAKAO ORGANIK SUSAM YAĞ YAĞI YOĞUN,0.0,0.0
%100 150ML ARINDIRICI BÖLGE DOĞAL FERAHLATICI HASSAS JEANI KOKU NIOLI SIVENO SUYU TONIĞI ÖNLEYICI,0.0,0.0
%100 150ML DERMOKIL DOĞAL FAZLI GÜL MAKYAJ SUYU TEMIZLEYICI ÇIFT,0.0,0.0
%100 150ML DERMOKIL DOĞAL GÜL SUYU,0.0,0.0
%100 160X200 BORDO CM PAMUK RANFORCE TAKIMI VAROL ÇARŞAF,0.0,0.0
%100 160X230 CM DESENLI KARO KIŞILIK PAMUK PIKE PUDRA TEK UPSTYLE ÖRTÜSÜ,0.0,0.0
%100 180*200 EKRU KIŞILIK LASTIKLI NORDQUEEN PAMUK RANFORCE ÇARŞAF ÇIFT,0.0,0.0
%100 19100 ARTIŞ DÜĞMELI GECELIK KISA KOLLU PAMUK UZUN,0.0,0.0
%100 19101 ARTIŞ CEPLI DESENLI DÜĞMELI GECELIK KISA KOLLU PAMUK PÖTIKARE,0.0,0.0
%100 19103 ARTIŞ DESENLI DÜĞMELI GECELIK KISA KOLLU PAMUK UZUN ÇIÇEK,0.0,0.0
%100 19105 ARTIŞ DESENLI GECELIK KISA KOLLU PAMUK ÇIÇEK,0.0,0.0
%100 19108 ARTIŞ DOKUMA DÜĞMELI GECELIK KISA KOLLU PAMUK PAMUK ÇIZGILI,0.0,0.0
%100 19201 ARTIŞ CEPLI DESENLI DÜĞMELI KISA KOLLU PAMUK PIJAMA PÖTIKARE TAKIM,0.0,0.0
%100 19204 AJURLU ARTIŞ DESENLI DÜĞMELI KAPRI KISA KOLLU PAMUK PIJAMA TAKIM ÇIÇEK,0.0,0.0
%100 19205 ARTIŞ DESENLI KISA KOLLU PAMUK PIJAMA TAKIM ÇIÇEK,0.0,0.0
%100 19209 ARTIŞ DOKUMA DÜĞMELI KOLLU PAMUK PIJAMA TAKIM UZUN ÇIZGILI,0.0,0.0
%100 2 3'LÜ BISIKLET ERKEK FIT GRI KESIM KOYU MAVI PAMUK RAHAT RELAX SWEATSHIRT TAŞ TUDORS YAKA İPLIK,0.0,0.0
%100 2 BÜŞRA LILA/90X180 PAMUK PEŞTEMAL VAROL,0.0,0.0
%100 2 BÜŞRA PAMUK PEMBE/90X180 PEŞTEMAL VAROL,0.0,0.0
%100 2 BÜŞRA PAMUK PEŞTEMAL SARI/90X180 VAROL,0.0,0.0
%100 2'LI 50X70 BEYAZ CM KILIFI NORDQUEEN PAMUK PÜSKÜLLÜ RANFORCE YASTIK,0.0,0.0
%100 2'LI 50X90 90X160 BANYO CM CM EMICI HAVLU KAHVE PAMUK SETI UPSTYLE VE VE YUMUŞAK,0.0,0.0
%100 2'LI 5902127S2 BURATTI DÜĞMELI FIT KIYAFETI OKUL PAKET PAMUK PAMUK POLO REGULAR TIŞÖRT YAKA,0.0,0.0
%100 2'LI ALABILEN ATLET BEYAZ D'S DAMAT EMEN FIT NEFES PAMUKLU STANDART TERI,0.0,0.0
%100 2'LI ALABILEN ATLET D'S DAMAT EMEN FIT NEFES PAMUKLU SIYAH STANDART TERI,0.0,0.0
%100 2'LI ATLET BEYAZ ERKEK GÜNEŞ PAMUK PENYE U YAKA,0.0,0.0
%100 2'LI BEYAZ BISIKLET DAR FIT KESIM PAKET PAMUK SLIM TIŞÖRT TUDORS UNISEX YAKA,0.0,0.0
%100 2'LI BEYAZ DAR FIT KESIM PAKET PAMUK SIYAH SLIM TIŞÖRT TUDORS UNISEX V YAKA,0.0,0.0
%100 2'LI BISIKLET DAR FIT KESIM PAKET PAMUK SIYAH SLIM TIŞÖRT TUDORS UNISEX YAKA,0.0,0.0
%100 2011 CEPLI ERKEK KOLSUZ PAMUKLU PIJAMA SEBOTEKS TAKIMI ŞORTLU,0.0,0.0
%100 2012 BEDEN BÜYÜK CEPLI ERKEK KOLSUZ PAMUKLU PIJAMA SEBOTEKS TAKIMI ŞORTLU,0.0,0.0
%100 2015 CEPLI ERKEK KISA KOLLU PAMUKLU PIJAMA SEBOTEKS TAKIMI ŞORTLU,0.0,0.0
%100 2016 CEPLI ERKEK KISA KOLLU PAMUKLU PIJAMA SEBOTEKS TAKIMI ŞORTLU,0.0,0.0
%100 2035 BEDEN BÜYÜK CEPLI ERKEK KISA KOLLU PAMUKLU PIJAMA SEBOTEKS TAKIMI ŞORTLU,0.0,0.0
%100 210 83 BASKILI BLACK DIGITAL GREEN KIŞILIK KREM LAVENA NEVRESIM PAMUK PEMBE SATEN TAKIMI TC TEL ÇIFT,0.0,0.0
%100 220X230 KIŞILIK MULBERRY PAMUK PIKE YATAK ÇIFT ÖRTÜSÜ,0.0,0.0
%100 250ML ARINDIRICI BITKISEL DOĞAL KASTIL KÖPÜK NEMLENDIRICI SABUN SIVENO VEGAN YOĞUN ZEYTINYAĞLI ÇOCUK,0.0,0.0
%100 260X240 BATTAL BOY CLASY CM HEZEN PAMUK RANFORCE SETI UYKU,0.0,0.0
%100 3 3'LÜ ATLET BEYAZ COMPACT ERKEK FIT KESIM NORMAL PAKET PAMUK PENYE STANDART TUDORS,0.0,0.0
%100 3 3'LÜ ATLET COMPACT ERKEK FIT GRI KESIM NORMAL PAKET PAMUK PENYE SIYAH STANDART TUDORS,0.0,0.0
%100 3 3'LÜ ATLET COMPACT ERKEK FIT KESIM NORMAL PAKET PAMUK PENYE SIYAH STANDART TUDORS,0.0,0.0
%100 3 4S6 BASIC DENIM FIT ICE IT'S KADIN PALAZZO PAMUK SALOPET TULUM,0.0,0.0
%100 3 BEYAZ DESENLI DINOLAR KIŞILIK LASTIKLI PAMUK PARÇA PIKE SERISI TAKIMI TEK UPSTYLE WEAVE ÇARŞAFLI,0.0,0.0
%100 3'LÜ 5902118S3 BURATTI DETAYLI DÜĞMELI FIT PAKET PAMUK PAMUKLU POLO SLIM TIŞÖRT YAKA ŞERIT,0.0,0.0
%100 3'LÜ 5902127S3 BURATTI DÜĞMELI FIT PAKET PAMUK PAMUKLU POLO REGULAR TIŞÖRT YAKA,0.0,0.0
%100 3'LÜ 5902738S3 BURATTI FERMUARLI FIT PAKET PAMUK PAMUKLU POLO REGULAR TIŞÖRT YAKA YARIM,0.0,0.0
%100 3'LÜ 5902915S3 BURATTI FERMUARLI FIT PAKET PAMUK PAMUKLU POLO REGULAR TIŞÖRT YAKA YARIM,0.0,0.0
%100 3'LÜ ATLET BEDEN BÜYÜK ELIT ERKEK PAMUK PENYE TUTKU,0.0,0.0
%100 3'LÜ ATLET BEYAZ ERKEK FORMO PAMUK PAMUKLU PENYE,0.0,0.0
%100 3'LÜ ATLET ERKEK GIYIM KOZA PAMUK PAMUKLU İÇ,0.0,0.0
%100 3'LÜ AYA BLACK GREEN HAVLU JAKARLI PAMUK PUDRA SETI,0.0,0.0
%100 3'LÜ AYAK DAYANIKLI EMICI GRI HAVLUSU PAMUK SETI UPSTYLE VE YUMUŞAK,0.0,0.0
%100 3'LÜ BASIC BEYAZ BISIKLET GENIŞ KESIM LACIVERT OVERSIZE PAKET PAMUK SIYAH TIŞÖRT TUDORS UNISEX YAKA,0.0,0.0
%100 3'LÜ BEJ BELLA BEZI KURULAMA LIBERTY MAISON PAMUK SETI,0.0,0.0
%100 3'LÜ BELLA BEZI KURULAMA LACIVERT LIBERTY MAISON PAMUK SETI,0.0,0.0
%100 3'LÜ BISIKLET DAR FIT KESIM KIĞILI PAMUK PAMUK SETI SLIM TIŞÖRT YAKA,0.0,0.0
%100 3'LÜ BISIKLET ERKEK FIT KIĞILI PAKET PAMUK REGULAR SETI SHIRT T YAKA,0.0,0.0
%100 3'LÜ BISIKLET FIT KIĞILI PAMUK PAMUK REGULAR SETI TIŞÖRT YAKA,0.0,0.0
%100 30/1 5 BISIKLET DOKU ERKEK FREEMEN PAKETI PAMUK SÜPREM TIŞÖRT YAKA YUMUŞAK,0.0,0.0
%100 300ML 6 BITKI CANLANDIRICI DEĞERLI DOĞAL DUŞ DUŞ JELI KOKULU PORTAKAL SABUNU SIVENO VEGAN,0.0,0.0
%100 300ML ARINDIRICI BITKISEL DEFNE DOĞAL KASTIL NEMLENDIRICI SABUN SIVENO SIVI VEGAN YAĞLI YOĞUN,0.0,0.0
%100 300ML ARINDIRICI BITKISEL DOĞAL KASTIL NEMLENDIRICI SABUN SIVENO SIVI VEGAN YOĞUN ZEYTINYAĞLI,0.0,0.0
%100 300ML AYNISEFA DENGELEYICI DOĞAL DUŞ JELI PAPATYA RAHATLATICI SEBUM SIVENO VEGAN YEŞILÇAY,0.0,0.0
%100 300ML BITKISEL DOĞAL KASTIL NEMLENDIRICI PORTAKAL SABUN SIVENO SIVI TAZELEYICI VEGAN YAĞLI,0.0,0.0
%100 30X50 6'LI ANTRASIT CM EMICI KURULAMA NAKIŞLI PAMUK PEÇETESI SETI UPSTYLE VE YUMUŞAK,0.0,0.0
%100 371 BASIC BISIKLET ERKEK/UNISEX FREEMEN PAMUK TIŞÖRT YAKA,0.0,0.0
%100 37344 AYICIK BASKILI ERKEK GIYIM KOLLU KOZA LACIVERT PAMUK PAMUKLU PIJAMA S000440166 TAKIMI UZUN | ÜST İÇ,0.0,0.0
%100 4 ARTUS DESENLI GRI KIŞILIK LASTIKLI PAMUK PARÇA PIKE TAKIMI UPSTYLE ÇARŞAFLI ÇIFT,0.0,0.0
%100 4 CM DERI ERKEK HAKIKI KEMER SIYAH SPOR TUDORS,0.0,0.0
%100 4'LÜ 590211827S4 BURATTI DÜĞMELI FIT PAKET PAMUK PAMUKLU POLO REGULAR TIŞÖRT YAKA,0.0,0.0
%100 4'LÜ 5902118S4 BURATTI DETAYLI DÜĞMELI FIT PAKET PAMUK PAMUKLU POLO SLIM TIŞÖRT YAKA ŞERIT,0.0,0.0
%100 400ML BIBERIYE DERMOKIL DOĞAL GÜÇLENDIRICI SAÇ ŞAMPUAN,0.0,0.0
%100 40X60 6'LI CM EMICI KURULAMA LAVANTA NAKIŞLI PAMUK PEÇETESI SETI UPSTYLE VE YUMUŞAK,0.0,0.0
%100 4461 BASIC BEJ ERKEK ERKEK MADMEXT PAMUK TIŞÖRT,0.0,0.0
%100 4553 BASKILI ERKEK MADMEXT MAVI PAMUK TIŞÖRT,0.0,0.0
%100 4597 BASKILI BEYAZ ERKEK MADMEXT PAMUK TIŞÖRT,0.0,0.0
%100 4950 ANTRASIT GÖMLEK MADMEXT ODUNCU PAMUK,0.0,0.0
%100 4951 BEJ ERKEK MADMEXT PAMUK TIŞÖRT,0.0,0.0
